Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Ablett, Gary",6,2,,6,3,1.0,,3.0,,,,,2.0,2.0,,,,,,,,,
3,"Bairstow, Mark",14,3,9,23,,,,4.0,,,,,2.0,2.0,,,,,,,,,
6,"Barnes, John",10,6,6,16,1,,16.0,,,,,,1.0,1.0,,,,,,,,,
27,"Bews, Andrew",8,3,11,19,,,,,,,,,1.0,2.0,,,,,,,,,
16,"Brownless, Bill",10,3,4,14,1,2.0,1.0,,,,,,1.0,3.0,,,,,,,,,
7,"Couch, Paul",14,1,8,22,1,,,3.0,,,,,4.0,1.0,,,,,,,,,
28,"Darcy, Tim",11,2,6,17,,,,,,,,,1.0,1.0,,,,,,,,,
29,"Hinkley, Ken",12,4,5,17,,,,2.0,,,,,2.0,1.0,,,,,,,,,
32,"Hocking, Garry",13,1,8,21,1,,,3.0,,,,,3.0,2.0,,,,,,,,,
1,"Hocking, Steve",5,,9,14,,,,3.0,,,,,2.0,1.0,,,,,,,,,
12,"Malakellis, Spiro",6,1,6,12,,,,2.0,,,,,,1.0,,,,,,,,,
17,"McGrath, Tim",14,4,4,18,,,,2.0,,,,,,5.0,,,,,,,,,
13,"Merriman, Russell",6,2,2,8,,1.0,,1.0,,,,,1.0,,,,,,,,,,
20,"OReilly, Stephen",7,3,3,10,1,1.0,1.0,,,,,,,1.0,,,,,,,,,
23,"Pickering, Liam",13,4,6,19,,1.0,,6.0,,,,,2.0,2.0,,,,,,,,,
15,"Riccardi, Peter",5,,8,13,,,,,,,,,,1.0,,,,,,,,,
8,"Scott, Robert",9,4,6,15,2,1.0,,3.0,,,,,,3.0,,,,,,,,,
37,"Simpson, Sean",7,1,1,8,,,,,,,,,1.0,,,,,,,,,,
26,"Stoneham, Barry",6,5,3,9,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
11,"Tudor, Leigh",7,1,5,12,2,,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,50,110,293,13,11.0,18.0,35.0,,,,,25.0,31.0,,,,,,,,,
Opposition,Opposition,185,56,102,287,17,16.0,21.0,39.0,,,,,31.0,25.0,6.0,,,,,,,,
