North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",15,7,6,21,,,,1.0,,,,,,1.0,3.0,,,,,,,,
30,"Chandler, Jeff",14,3,2,16,,,,,,,,,,,,,,,,,,,
23,"Clarkson, Alastair",14,5,7,21,1,1.0,,,,,,,,1.0,,,,,,,,,
27,"Crocker, Darren",14,3,11,25,,1.0,,,,,,,1.0,3.0,,,,,,,,,
6,"Fairley, Ian",12,5,2,14,,,,,,,,,2.0,1.0,,,,,,,,,
31,"Gallagher, Michael",6,3,3,9,,,6.0,1.0,,,,,2.0,2.0,,,,,,,,,
29,"German, Peter",19,2,2,21,,2.0,,4.0,,,,,2.0,1.0,,,,,,,,,
26,"Harris, Darren",5,4,4,9,2,2.0,3.0,1.0,,,,,,1.0,,,,,,,,,
9,"Larkin, Matthew",11,1,5,16,,,,2.0,,,,,1.0,3.0,,,,,,,,,
35,"Longmire, John",10,6,3,13,8,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,
4,"Martyn, Mick",4,3,2,6,,,,,,,,,,,,,,,,,,,
25,"McDonald, Donald",11,8,2,13,1,1.0,,,,,,,,1.0,,,,,,,,,
19,"McRae, Dean",6,2,1,7,,1.0,,2.0,,,,,,,,,,,,,,,
28,"Pickering, Liam",7,3,2,9,1,,,2.0,,,,,,,,,,,,,,,
3,"Rock, Anthony",18,5,14,32,,2.0,,1.0,,,,,2.0,2.0,,,,,,,,,
36,"Romero, Jose",21,3,8,29,1,,,1.0,,,,,,1.0,,,,,,,,,
2,"Schwass, Wayne",19,3,6,25,1,,,3.0,,,,,,2.0,,,,,,,,,
24,"Sholl, Craig",6,2,3,9,,,,1.0,,,,,,,,,,,,,,,
17,"Staritski, Justin",15,3,5,20,,,,2.0,,,,,2.0,,,,,,,,,,
7,"Steele, Darren",13,2,13,26,,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,240,73,101,341,15,13.0,9.0,23.0,,,,,12.0,21.0,4.0,,,,,,,,
Opposition,Opposition,231,50,61,292,14,6.0,19.0,19.0,,,,,21.0,12.0,2.0,,,,,,,,
