Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",31y 359d,281 (151-2-128 54.09%),373 (1.33),89 (27-0-62 30.34%),111 (1.25)
27,"Cameron, Clay",21y 346d,22 (5-0-17 22.73%),5 (0.23),←,
15,"Currie, Daniel",27y 82d,7 (3-0-4 42.86%),4 (0.57),3 (0-0-3 0.00%),1 (0.33)
12,"Day, Sam",23y 244d,85 (26-1-58 31.18%),55 (0.65),←,
41,"Garlett, Jarrod",20y 4d,10 (2-0-8 20.00%),6 (0.60),←,
2,"Grant, Jarrad",26y 306d,84 (42-0-42 50.00%),85 (1.01),3 (0-0-3 0.00%),2 (0.67)
33,"Hall, Aaron",25y 180d,68 (25-1-42 37.50%),60 (0.88),←,
5,"Harbrow, Jarrod",27y 294d,170 (69-2-99 41.18%),49 (0.29),100 (29-1-70 29.50%),28 (0.28)
28,"Kolodjashnij, Kade",20y 272d,46 (13-1-32 29.35%),10 (0.22),←,
23,"Lemmens, Sean",21y 187d,43 (15-1-27 36.05%),7 (0.16),←,
37,"Lonergan, Jesse",21y 175d,38 (11-1-26 30.26%),4 (0.11),←,
19,"Lynch, Tom",23y 189d,87 (25-1-61 29.31%),152 (1.75),←,
44,"Macpherson, Darcy",18y 191d,1 (0-0-1 0.00%),1 (1.00),←,
7,"Malceski, Nick",31y 266d,199 (122-3-74 62.06%),73 (0.37),23 (6-1-16 28.26%),6 (0.26)
4,"Martin, Jack",21y 99d,30 (10-1-19 35.00%),31 (1.03),←,
11,"Miller, Touk",20y 75d,27 (5-1-21 20.37%),8 (0.30),←,
10,"Prestia, Dion",23y 208d,87 (24-0-63 27.59%),28 (0.32),←,
3,"Rosa, Matt",29y 166d,174 (89-1-84 51.44%),40 (0.23),6 (2-0-4 33.33%),1 (0.17)
42,"Saad, Adam",21y 289d,22 (7-1-14 34.09%),1 (0.05),←,
20,"Schade, Henry",22y 212d,17 (4-1-12 26.47%),,←,
6,"Sexton, Alex",22y 156d,44 (12-0-32 27.27%),25 (0.57),←,
30,"Wright, Peter",19y 242d,6 (0-0-6 0.00%),6 (1.00),←,
Totals,Totals,23y 289d,1548 (660-18-870 42.64%),1023 (0.66),,
C,"Eade, Rodney",58y 33d,343 (176-5-162 52.04%),,29 (7-1-21 25.86%),
