Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",24y 303d,85 (57-1-27 67.65%),42 (0.49),←,
18,"Betts, Eddie",32y 166d,303 (148-3-152 49.34%),578 (1.91),119 (73-0-46 61.34%),288 (2.42)
16,"Brown, Luke",26y 231d,136 (80-1-55 59.19%),12 (0.09),←,
2,"Crouch, Brad",25y 117d,69 (40-0-29 57.97%),26 (0.38),←,
5,"Crouch, Matt",24y 20d,98 (62-1-35 63.78%),21 (0.21),←,
28,"Ellis-Yolmen, Cam",26y 103d,34 (18-0-16 52.94%),13 (0.38),←,
7,"Gallucci, Jordan",21y 7d,20 (14-0-6 70.00%),17 (0.85),←,
1,"Greenwood, Hugh",27y 66d,41 (26-1-14 64.63%),30 (0.73),←,
15,"Hartigan, Kyle",27y 185d,89 (58-0-31 65.17%),1 (0.01),←,
34,"Himmelberg, Elliott",20y 341d,5 (5-0-0 100.00%),6 (1.20),←,
42,"Keath, Alex",27y 111d,20 (12-1-7 62.50%),1 (0.05),←,
8,"Kelly, Jake",24y 110d,61 (36-1-24 59.84%),1 (0.02),←,
3,"Knight, Riley",24y 45d,47 (34-1-12 73.40%),34 (0.72),←,
29,"Laird, Rory",25y 133d,129 (79-1-49 61.63%),12 (0.09),←,
27,"Lynch, Tom",28y 238d,131 (82-1-48 62.98%),180 (1.37),125 (78-1-46 62.80%),176 (1.41)
14,"Mackay, David",30y 290d,210 (126-1-83 60.24%),60 (0.29),←,
44,"Murphy, Lachlan",20y 158d,19 (11-0-8 57.89%),21 (1.11),←,
43,"OBrien, Reilly",23y 264d,8 (6-0-2 75.00%),1 (0.13),←,
9,"Sloane, Rory",29y 55d,185 (109-1-75 59.19%),115 (0.62),←,
33,"Smith, Brodie",27y 117d,153 (94-1-58 61.76%),50 (0.33),←,
12,"Talia, Daniel",27y 221d,172 (103-1-68 60.17%),6 (0.03),←,
13,"Walker, Taylor",29y 16d,175 (101-1-73 58.00%),396 (2.26),←,
Totals,Totals,26y 34d,2190 (1301-17-872 59.41%),1623 (0.74),,
C,"Pyke, Don",50y 157d,79 (51-1-27 65.19%),,←,
