Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",8,4,5,13,1,1.0,3.0,2.0,,,,,2.0,2.0,,,,,,,,,
14,"Armstrong, Matt",9,,10,19,,,,2.0,,,,,1.0,1.0,,,,,,,,,
32,"Baldwin, Jason",8,2,10,18,,,,,,,,,,1.0,,,,,,,,,
20,"Barrett, Chris",3,2,,3,,,,,,,,,,,,,,,,,,,
18,"Blakey, John",15,4,5,20,,,,2.0,,,,,2.0,,,,,,,,,,
22,"Caven, Peter",6,2,3,9,,,,2.0,,,,,,2.0,,,,,,,,,
16,"Cormack, Joe",18,5,11,29,1,,,,,,,,1.0,1.0,2.0,,,,,,,,
2,"Dundas, Matthew",14,4,9,23,2,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,
23,"Exell, Gavin",3,1,,3,1,,,,,,,,,,,,,,,,,,
6,"Guard, Jeremy",14,4,7,21,,,,1.0,,,,,,,,,,,,,,,
11,"Lynch, Alastair",10,6,1,11,6,2.0,,2.0,,,,,,1.0,,,,,,,,,
29,"Lyon, Ross",12,5,9,21,,,,3.0,,,,,,2.0,,,,,,,,,
21,"Morrish, Paul",10,4,12,22,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
44,"Osborne, Richard",21,10,1,22,8,7.0,,1.0,,,,,2.0,1.0,3.0,,,,,,,,
4,"Paxman, Stephen",8,4,10,18,,,9.0,,,,,,4.0,1.0,,,,,,,,,
1,"Roos, Paul",12,8,9,21,,1.0,,1.0,,,,,,1.0,,,,,,,,,
3,"Seecamp, Marcus",9,4,7,16,,1.0,,4.0,,,,,1.0,2.0,,,,,,,,,
33,"Stephens, Brett",7,2,10,17,1,1.0,,2.0,,,,,2.0,,,,,,,,,,
12,"Wheildon, Darren",11,,5,16,1,1.0,,1.0,,,,,7.0,3.0,,,,,,,,,
8,"Wynd, Jim",27,4,10,37,2,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,225,75,134,359,24,17.0,12.0,28.0,,,,,24.0,20.0,6.0,,,,,,,,
Opposition,Opposition,182,60,93,275,15,12.0,12.0,21.0,,,,,20.0,24.0,,,,,,,,,
