North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",25y 317d,116 (57-1-58 49.57%),116 (1.00),←,
11,"Archer, Glenn",21y 15d,31 (17-0-14 54.84%),12 (0.39),←,
12,"Blakey, John",27y 258d,154 (64-0-90 41.56%),41 (0.27),19 (12-0-7 63.16%),3 (0.16)
18,"Carey, Wayne",22y 316d,81 (43-0-38 53.09%),187 (2.31),←,
23,"Clarkson, Alastair",25y 346d,78 (34-2-42 44.87%),55 (0.71),←,
26,"Ishchenko, Alex",29y 353d,111 (47-0-64 42.34%),36 (0.32),39 (21-0-18 53.85%),11 (0.28)
34,"King, David",22y 32d,2 (2-0-0 100.00%),,←,
7,"Laidley, Dani",27y 12d,71 (42-1-28 59.86%),12 (0.17),19 (13-0-6 68.42%),1 (0.05)
35,"Longmire, John",23y 98d,111 (53-1-57 48.20%),363 (3.27),←,
20,"Mann, Peter",23y 213d,24 (9-0-15 37.50%),9 (0.38),←,
4,"Martyn, Mick",25y 220d,115 (57-1-57 50.00%),11 (0.10),←,
41,"McAdam, Adrian",23y 27d,19 (12-0-7 63.16%),75 (3.95),←,
31,"McKernan, Corey",20y 110d,3 (2-0-1 66.67%),3 (1.00),←,
13,"Nichols, Trent",25y 1d,62 (19-1-42 31.45%),53 (0.85),2 (2-0-0 100.00%),4 (2.00)
22,"Roberts, Mark",28y 284d,113 (48-0-65 42.48%),81 (0.72),36 (22-0-14 61.11%),62 (1.72)
3,"Rock, Anthony",23y 191d,67 (37-0-30 55.22%),66 (0.99),←,
1,"Romero, Jose",22y 250d,76 (41-0-35 53.95%),88 (1.16),←,
2,"Schwass, Wayne",25y 132d,100 (49-0-51 49.00%),54 (0.54),←,
24,"Sholl, Craig",26y 99d,87 (46-0-41 52.87%),16 (0.18),←,
15,"Smith, Ross",29y 64d,174 (83-2-89 48.28%),34 (0.20),←,
10,"Stevens, Anthony",22y 280d,65 (34-0-31 52.31%),28 (0.43),←,
Totals,Totals,24y 311d,1660 (796-9-855 47.95%),1340 (0.81),,
C,"Pagan, Denis",46y 196d,23 (15-0-8 65.22%),,←,
