West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Brennan, Michael",7,2,2,9,,,,2.0,,,,,,,,,,,,,,,
32,"Clape, Matt",11,5,5,16,2,1.0,,2.0,,,,,2.0,3.0,,,,,,,,,
18,"Evans, Tony",10,4,8,18,3,,,2.0,,,,,2.0,2.0,,,,,,,,,
23,"Harding, Paul",5,5,11,16,1,,20.0,2.0,,,,,1.0,4.0,1.0,,,,,,,,
16,"Hepburn, Mark",10,6,5,15,,1.0,14.0,,,,,,1.0,3.0,,,,,,,,,
27,"Jakovich, Glen",14,8,10,24,,,2.0,1.0,,,,,,3.0,3.0,,,,,,,,
2,"Kemp, Dean",7,1,2,9,3,1.0,,2.0,,,,,,1.0,,,,,,,,,
15,"Laidley, Dani",5,2,7,12,,,,,,,,,1.0,,,,,,,,,,
5,"Lamb, Dwayne",11,3,11,22,,,,4.0,,,,,1.0,1.0,,,,,,,,,
28,"Lewis, Chris",8,3,2,10,,,,1.0,,,,,2.0,,,,,,,,,,
3,"Mainwaring, Chris",14,2,6,20,1,,,1.0,,,,,4.0,2.0,,,,,,,,,
30,"Matera, Peter",20,3,4,24,2,,,2.0,,,,,2.0,1.0,,,,,,,,,
11,"McIntosh, Ashley",8,4,5,13,6,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,
10,"Pyke, Don",9,2,4,13,,1.0,1.0,,,,,,,,,,,,,,,,
4,"Sumich, Peter",14,10,,14,6,4.0,,2.0,,,,,1.0,4.0,,,,,,,,,
7,"Turley, Craig",13,7,7,20,4,,,2.0,,,,,1.0,,,,,,,,,,
39,"Waterman, Chris",19,7,6,25,,,,2.0,,,,,1.0,2.0,,,,,,,,,
31,"White, Mitchell",11,2,10,21,,,,2.0,,,,,2.0,1.0,,,,,,,,,
9,"Wilson, Peter",8,2,9,17,1,,,3.0,,,,,,1.0,,,,,,,,,
24,"Worsfold, John",7,2,8,15,,,,4.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,80,122,333,29,12.0,38.0,35.0,,,,,23.0,30.0,6.0,,,,,,,,
Opposition,Opposition,157,45,79,236,8,7.0,25.0,17.0,,,,,30.0,23.0,,,,,,,,,
