West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
20,"Cox, Dean",29y 341d,216 (105-1-110 48.84%),111 (0.51),←,
27,"Darling, Jack",19y 25d,14 (10-0-4 71.43%),12 (0.86),←,
5,"Ebert, Brad",21y 97d,67 (21-0-46 31.34%),25 (0.37),←,
32,"Embley, Andrew",30y 11d,220 (106-1-113 48.41%),199 (0.90),←,
23,"Glass, Darren",30y 55d,210 (107-2-101 51.43%),8 (0.04),←,
25,"Hurn, Shannon",23y 307d,87 (40-0-47 45.98%),24 (0.28),←,
17,"Kennedy, Josh",23y 317d,81 (24-1-56 30.25%),130 (1.60),59 (21-0-38 35.59%),119 (2.02)
4,"Kerr, Daniel",28y 53d,181 (95-2-84 53.04%),100 (0.55),←,
2,"LeCras, Mark",24y 312d,89 (39-0-50 43.82%),214 (2.40),←,
16,"Mackenzie, Eric",23y 50d,47 (13-0-34 27.66%),,←,
35,"McGinnity, Patrick",22y 140d,34 (15-0-19 44.12%),2 (0.06),←,
9,"Naitanui, Nic",21y 65d,45 (18-0-27 40.00%),20 (0.44),←,
6,"Nicoski, Mark",27y 226d,101 (50-0-51 49.50%),40 (0.40),←,
11,"Priddis, Matt",26y 109d,97 (41-0-56 42.27%),27 (0.28),←,
24,"Rosa, Matt",24y 227d,104 (50-0-54 48.08%),30 (0.29),←,
31,"Schofield, Will",22y 165d,48 (19-0-29 39.58%),4 (0.08),←,
37,"Selwood, Adam",27y 68d,147 (76-0-71 51.70%),40 (0.27),←,
10,"Selwood, Scott",21y 103d,57 (21-0-36 36.84%),10 (0.18),←,
13,"Shuey, Luke",21y 36d,20 (10-0-10 50.00%),21 (1.05),←,
28,"Smith, Ashley",20y 353d,18 (9-0-9 50.00%),6 (0.33),←,
14,"Stevens, Koby",20y 20d,6 (1-0-5 16.67%),2 (0.33),←,
15,"Swift, Tom",21y 2d,27 (11-0-16 40.74%),7 (0.26),←,
Totals,Totals,24y 40d,1916 (881-7-1028 45.98%),1032 (0.54),,
C,"Worsfold, John",42y 286d,224 (116-2-106 52.23%),,←,
