Notes,Previous,Current
Brisbane Lions's lowest score,"71 v Port Adelaide - R5,1997","17 v Richmond - R4,2018"
Brisbane Lions's highest score conceded,"132 v Adelaide - R1,1997","186 v St Kilda - R22,2005"
Brisbane Lions's biggest loss,"36 v Adelaide - R1,1997","139 v St Kilda - R22,2005"
