Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 27d,99 (37-0-62 37.37%),256 (2.59),←,
35,"Corr, Aidan",22y 346d,40 (14-0-26 35.00%),1 (0.03),←,
4,"Greene, Toby",23y 215d,104 (39-0-65 37.50%),98 (0.94),←,
19,"Haynes, Nick",24y 345d,68 (30-0-38 44.12%),6 (0.09),←,
2,"Hopper, Jacob",20y 81d,15 (12-0-3 80.00%),7 (0.47),←,
17,"Johnson, Steve",33y 298d,280 (198-3-79 71.25%),501 (1.79),27 (20-0-7 74.07%),49 (1.81)
22,"Kelly, Josh",22y 75d,66 (35-0-31 53.03%),38 (0.58),←,
40,"Kennedy, Adam",24y 290d,82 (26-0-56 31.71%),6 (0.07),←,
15,"Kennedy, Matthew",20y 22d,7 (5-0-2 71.43%),4 (0.57),←,
37,"Lobb, Rory",24y 78d,41 (25-0-16 60.98%),44 (1.07),←,
41,"Mumford, Shane",30y 297d,157 (103-2-52 66.24%),47 (0.30),57 (34-0-23 59.65%),8 (0.14)
12,"Patton, Jonathon",23y 343d,59 (27-0-32 45.76%),86 (1.46),←,
50,"Reid, Sam",27y 172d,35 (17-0-18 48.57%),16 (0.46),25 (11-0-14 44.00%),15 (0.60)
9,"Scully, Tom",25y 348d,133 (51-1-81 38.72%),59 (0.44),102 (38-0-64 37.25%),53 (0.52)
23,"Shaw, Heath",31y 152d,243 (149-2-92 61.73%),39 (0.16),70 (39-0-31 55.71%),2 (0.03)
5,"Shiel, Dylan",24y 50d,93 (36-0-57 38.71%),48 (0.52),←,
10,"Smith, Devon",23y 343d,99 (34-0-65 34.34%),93 (0.94),←,
14,"Taranto, Tim",19y 90d,5 (4-0-1 80.00%),,←,
20,"Tomlinson, Adam",23y 261d,73 (23-0-50 31.51%),19 (0.26),←,
8,"Ward, Callan",27y 18d,173 (73-0-100 42.20%),87 (0.50),113 (41-0-72 36.28%),54 (0.48)
29,"Williams, Zac",22y 220d,59 (29-0-30 49.15%),14 (0.24),←,
16,"Wilson, Nathan",24y 111d,58 (30-0-28 51.72%),13 (0.22),←,
Totals,Totals,24y 290d,1989 (997-8-984 50.13%),1482 (0.75),,
C,"Cameron, Leon",44y 238d,74 (39-0-35 52.70%),,←,
