Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
30,"Allen, Scott",20y 110d,7 (1-0-6 14.29%),3 (0.43),←,
18,"Cameron, Leon",22y 260d,93 (49-1-43 53.23%),42 (0.45),←,
14,"Darcy, Luke",19y 312d,3 (1-0-2 33.33%),,←,
3,"Grant, Chris",22y 158d,108 (59-1-48 55.09%),239 (2.21),←,
10,"Hunter, Mark",29y 259d,117 (56-2-59 48.72%),9 (0.08),←,
6,"Johnson, Brad",18y 306d,17 (9-0-8 52.94%),11 (0.65),←,
2,"Kolyniuk, Steven",24y 319d,98 (50-1-47 51.53%),117 (1.19),←,
39,"Liberatore, Tony",29y 98d,136 (76-1-59 56.25%),69 (0.51),←,
27,"Macpherson, Stephen",30y 169d,182 (91-3-88 50.82%),151 (0.83),←,
23,"Martin, Michael",18y 84d,1 (0-0-1 0.00%),,←,
9,"Nicholson, Brad",20y 350d,15 (8-0-7 53.33%),1 (0.07),←,
44,"Osborne, Richard",30y 338d,229 (96-0-133 41.92%),503 (2.20),26 (15-0-11 57.69%),53 (2.04)
21,"Phillipou, Sam",20y 244d,1 (0-0-1 0.00%),1 (1.00),←,
11,"Romero, Jose",23y 292d,97 (53-0-44 54.64%),103 (1.06),8 (4-0-4 50.00%),5 (0.63)
38,"Sir, Sedat",20y 75d,6 (2-0-4 33.33%),,←,
5,"Smith, Rohan",21y 354d,38 (23-0-15 60.53%),23 (0.61),←,
8,"Southern, Daniel",20y 139d,29 (14-0-15 48.28%),6 (0.21),←,
17,"Standfield, Barry",25y 96d,82 (46-0-36 56.10%),33 (0.40),←,
24,"Wallis, Stephen",30y 205d,236 (126-2-108 53.81%),57 (0.24),←,
7,"West, Scott",20y 187d,48 (26-0-22 54.17%),32 (0.67),←,
15,"Wynd, Scott",25y 115d,111 (57-1-53 51.80%),23 (0.21),←,
Totals,Totals,23y 248d,1654 (843-12-799 50.97%),1423 (0.86),,
C,"Joyce, Alan",52y 211d,123 (83-0-40 67.48%),,30 (16-0-14 53.33%),
