Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
15,"Allan, Ben",25y 260d,88 (57-0-31 64.77%),63 (0.72),←,
29,"Baxter, Darren",29y 105d,155 (78-3-74 51.29%),30 (0.19),26 (15-0-11 57.69%),2 (0.08)
14,"Bunn, Mark",23y 251d,38 (12-0-26 31.58%),1 (0.03),8 (3-0-5 37.50%),
5,"Collins, Andrew",29y 68d,158 (112-0-46 70.89%),33 (0.21),←,
3,"Condon, Anthony",26y 208d,115 (80-0-35 69.57%),39 (0.34),←,
9,"Crawford, Shane",19y 296d,33 (20-0-13 60.61%),27 (0.82),←,
13,"Dear, Paul",27y 186d,100 (69-0-31 69.00%),73 (0.73),←,
19,"Dunstall, Jason",29y 322d,199 (151-0-48 75.88%),979 (4.92),←,
16,"Gowers, Andrew",25y 82d,79 (54-0-25 68.35%),46 (0.58),←,
34,"Graham, Mark",21y 111d,11 (8-0-3 72.73%),1 (0.09),←,
22,"Hargreaves, Tim",19y 33d,9 (7-0-2 77.78%),18 (2.00),←,
17,"Hudson, Paul",23y 347d,86 (59-0-27 68.60%),174 (2.02),←,
11,"Jarman, Darren",27y 155d,80 (53-0-27 66.25%),105 (1.31),←,
24,"Langford, Chris",31y 181d,248 (184-1-63 74.40%),31 (0.13),←,
12,"Lawrence, Stephen",25y 71d,91 (61-0-30 67.03%),20 (0.22),←,
31,"Madigan, Greg",24y 159d,37 (24-0-13 64.86%),4 (0.11),←,
20,"Maginness, Scott",27y 334d,101 (72-0-29 71.29%),5 (0.05),←,
28,"McDonald, Alex",24y 139d,24 (15-0-9 62.50%),11 (0.46),←,
44,"Platten, John",31y 107d,190 (137-0-53 72.11%),191 (1.01),←,
18,"Pritchard, Darrin",28y 103d,159 (114-0-45 71.70%),88 (0.55),←,
25,"Taylor, Jason",25y 282d,47 (26-0-21 55.32%),25 (0.53),40 (25-0-15 62.50%),21 (0.52)
Totals,Totals,26y 24d,2048 (1393-4-651 68.02%),1964 (0.96),,
C,"Knights, Peter",42y 94d,72 (24-0-48 33.33%),,13 (8-0-5 61.54%),
