St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",4,4,3,7,,,,2.0,1.0,2.0,1.0,2.0,,2.0,,2.0,5.0,,,,2.0,1.0,49.0
43,"Attard, Jayden",4,2,2,6,,,,5.0,1.0,,1.0,,,,,2.0,3.0,,,1.0,,,100.0
10,"Baker, Steven",7,4,6,13,,,,8.0,1.0,2.0,,,1.0,,,4.0,9.0,,,,1.0,,96.0
14,"Ball, Luke",11,5,6,17,,1.0,,3.0,3.0,2.0,2.0,1.0,1.0,,,5.0,12.0,,,1.0,2.0,,67.0
22,"Birss, Shane",9,3,8,17,,,,1.0,2.0,3.0,3.0,4.0,2.0,2.0,,8.0,8.0,,,,,1.0,73.0
27,"Blake, Jason",12,7,7,19,,,1.0,3.0,3.0,3.0,,2.0,4.0,1.0,,6.0,13.0,,,3.0,3.0,,94.0
28,"Clarke, Matthew",5,3,3,8,,,7.0,1.0,2.0,,4.0,,2.0,,,4.0,3.0,,,2.0,,,55.0
26,"Dal Santo, Nick",15,1,8,23,1,1.0,,3.0,3.0,5.0,4.0,2.0,1.0,1.0,,12.0,11.0,,,1.0,4.0,,99.0
17,"Fiora, Aaron",10,5,4,14,,1.0,1.0,3.0,,4.0,2.0,2.0,1.0,1.0,,7.0,9.0,1.0,1.0,1.0,2.0,,87.0
6,"Fisher, Leigh",9,4,11,20,,,,3.0,1.0,1.0,1.0,2.0,2.0,,,8.0,11.0,,,,1.0,,97.0
25,"Fisher, Sam",14,10,1,15,,,,1.0,3.0,2.0,,2.0,,1.0,,4.0,11.0,1.0,,3.0,2.0,,100.0
9,"Gehrig, Fraser",10,5,1,11,1,4.0,,2.0,,2.0,1.0,2.0,1.0,,,4.0,7.0,1.0,3.0,,,,93.0
19,"Gilbert, Sam",10,7,6,16,1,,,7.0,2.0,3.0,3.0,,1.0,,,5.0,11.0,,,2.0,3.0,,94.0
33,"Gwilt, James",15,8,3,18,,,,,6.0,,,2.0,,1.0,,2.0,17.0,,,3.0,5.0,,100.0
35,"Harvey, Robert",4,2,,4,,,,,,,,,,,,,4.0,,,,,,16.0
7,"Hayes, Lenny",13,4,8,21,,2.0,,3.0,,6.0,4.0,5.0,,2.0,,8.0,14.0,,1.0,1.0,2.0,1.0,87.0
23,"Koschitzke, Justin",5,5,8,13,1,1.0,9.0,1.0,,4.0,2.0,1.0,1.0,,,7.0,6.0,2.0,1.0,2.0,,,93.0
32,"McQualter, Andrew",3,1,1,4,,,,2.0,,1.0,,1.0,1.0,,,1.0,2.0,,,,,,35.0
44,"Milne, Stephen",10,5,1,11,,1.0,,1.0,2.0,2.0,,2.0,,2.0,,3.0,9.0,,,3.0,2.0,1.0,97.0
12,"Riewoldt, Nick",17,10,6,23,1,4.0,,1.0,,7.0,,3.0,6.0,2.0,1.0,9.0,14.0,,2.0,2.0,,1.0,100.0
29,"Rix, Michael",3,1,4,7,1,,10.0,1.0,,,,,2.0,,,5.0,2.0,,1.0,2.0,,,83.0
13,"Voss, Brett",3,1,4,7,,1.0,1.0,5.0,,1.0,,2.0,,2.0,,2.0,5.0,,,1.0,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,97,101,294,6,19.0,29.0,56.0,30.0,50.0,28.0,35.0,26.0,17.0,1.0,108.0,186.0,5.0,9.0,28.0,29.0,5.0,
Opposition,Opposition,202,114,169,371,15,11.0,28.0,56.0,35.0,47.0,33.0,53.0,17.0,26.0,5.0,122.0,243.0,13.0,9.0,44.0,31.0,10.0,
