Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
35,"Bond, Chris",27y 212d,99 (48-1-50 48.99%),37 (0.37),77 (40-1-36 52.60%),29 (0.38)
32,"Bourke, David",20y 229d,33 (21-0-12 63.64%),3 (0.09),←,
11,"Bowden, Joel",18y 65d,4 (3-0-1 75.00%),1 (0.25),←,
17,"Broderick, Paul",26y 235d,161 (78-1-82 48.76%),119 (0.74),68 (39-1-28 58.09%),39 (0.57)
9,"Campbell, Wayne",23y 337d,118 (52-1-65 44.49%),76 (0.64),←,
15,"Charles, Justin",25y 332d,74 (39-2-33 54.05%),47 (0.64),38 (21-1-16 56.58%),23 (0.61)
25,"Gale, Brendon",28y 38d,143 (60-1-82 42.31%),161 (1.13),←,
1,"Gale, Michael",29y 248d,161 (72-1-88 45.03%),44 (0.27),56 (31-1-24 56.25%),15 (0.27)
2,"Gaspar, Darren",20y 97d,40 (17-0-23 42.50%),1 (0.03),19 (10-0-9 52.63%),
20,"Harrison, Ben",21y 221d,10 (6-0-4 60.00%),,8 (4-0-4 50.00%),
3,"Kellaway, Duncan",23y 190d,76 (40-1-35 53.29%),,←,
33,"Knights, Matthew",25y 325d,162 (62-0-100 38.27%),101 (0.62),←,
8,"Merenda, Mark",20y 301d,43 (26-0-17 60.47%),26 (0.60),←,
6,"Naish, Chris",24y 333d,130 (55-1-74 42.69%),197 (1.52),←,
13,"Powell, Robert",20y 159d,7 (4-0-3 57.14%),14 (2.00),←,
12,"Richardson, Matthew",21y 159d,63 (32-0-31 50.79%),199 (3.16),←,
4,"Rogers, Matthew",22y 274d,63 (35-1-27 56.35%),57 (0.90),←,
37,"Ryan, Damien",19y 22d,11 (6-0-5 54.55%),1 (0.09),←,
26,"Sullivan, Chris",24y 17d,34 (14-1-19 42.65%),26 (0.76),7 (4-0-3 57.14%),4 (0.57)
5,"Tape, Jamie",22y 142d,66 (37-1-28 56.82%),4 (0.06),←,
29,"Torney, Jason",19y 70d,18 (8-1-9 47.22%),2 (0.11),←,
Totals,Totals,23y 69d,1516 (715-13-788 47.16%),1116 (0.74),,
C,"Walls, Robert",46y 35d,329 (156-2-171 47.72%),,21 (11-0-10 52.38%),
