Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
44,"Bellchambers, Tom",20y 359d,12 (3-0-9 25.00%),2 (0.17),←,
29,"Davey, Alwyn",26y 49d,50 (23-1-26 47.00%),52 (1.04),←,
3,"Gumbleton, Scott",21y 334d,19 (7-0-12 36.84%),19 (1.00),←,
39,"Hocking, Heath",22y 188d,37 (15-1-21 41.89%),13 (0.35),←,
26,"Hooker, Cale",21y 263d,28 (9-0-19 32.14%),5 (0.18),←,
18,"Hurley, Michael",20y 32d,21 (7-1-13 35.71%),22 (1.05),←,
7,"Jetta, Leroy",21y 362d,35 (17-0-18 48.57%),23 (0.66),←,
14,"Lonergan, Sam",23y 99d,47 (20-1-26 43.62%),27 (0.57),←,
42,"Lovett-Murray, Nathan",27y 227d,109 (38-1-70 35.32%),60 (0.55),←,
10,"McVeigh, Mark",29y 158d,199 (95-3-101 48.49%),100 (0.50),←,
17,"Melksham, Jake",18y 308d,10 (3-0-7 30.00%),4 (0.40),←,
9,"Prismall, Brent",23y 354d,48 (27-2-19 58.33%),22 (0.46),23 (9-1-13 41.30%),7 (0.30)
41,"Quinn, Michael",20y 158d,7 (2-1-4 35.71%),2 (0.29),←,
37,"Reimers, Kyle",21y 174d,32 (12-1-19 39.06%),29 (0.91),←,
30,"Ryder, Paddy",22y 111d,87 (34-2-51 40.23%),37 (0.43),←,
20,"Slattery, Henry",24y 162d,83 (30-2-51 37.35%),11 (0.13),←,
36,"Slattery, Tyson",19y 212d,1 (0-0-1 0.00%),1 (1.00),←,
5,"Stanton, Brent",24y 63d,133 (49-2-82 37.59%),81 (0.61),←,
4,"Watson, Jobe",25y 145d,108 (42-2-64 39.81%),40 (0.37),←,
12,"Welsh, Andrew",27y 142d,155 (62-2-91 40.65%),30 (0.19),←,
8,"Winderlich, Jason",25y 266d,89 (33-0-56 37.08%),39 (0.44),←,
11,"Zaharakis, David",20y 132d,24 (10-0-14 41.67%),24 (1.00),←,
Totals,Totals,23y 63d,1334 (538-22-774 40.33%),643 (0.48),,
C,"Knights, Matthew",39y 271d,59 (23-1-35 39.83%),,←,
