Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Akermanis, Jason",21,8,4,25,1,2.0,,9.0,3.0,5.0,2.0,2.0,1.0,1.0,,6.0,17.0,,,2.0,3.0,,
10,"Ashcroft, Marcus",11,5,,11,,,,,4.0,1.0,,1.0,,,,,10.0,,,2.0,,,
20,"Black, Simon",11,1,11,22,,,,3.0,,4.0,4.0,2.0,1.0,1.0,,17.0,7.0,,,4.0,,,
16,"Brown, Jonathan",8,3,7,15,1,1.0,,3.0,,6.0,,2.0,1.0,2.0,,10.0,6.0,3.0,1.0,1.0,,,
19,"Charman, Jamie",4,2,1,5,,,9.0,1.0,,3.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,,
32,"Hart, Shaun",6,1,2,8,2,,,8.0,,2.0,,,,,,1.0,6.0,,,1.0,,,
1,"Headland, Des",13,7,3,16,1,1.0,,6.0,2.0,5.0,4.0,,1.0,,,3.0,12.0,,2.0,1.0,2.0,,
2,"Johnson, Chris",10,5,7,17,1,,,2.0,2.0,,3.0,,1.0,,,8.0,6.0,,1.0,6.0,,,
27,"Keating, Clark",1,,2,3,,,21.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,,3.0,1.0,,,4.0,,,
44,"Lappin, Nigel",13,4,10,23,1,,,2.0,2.0,4.0,1.0,3.0,1.0,2.0,,6.0,16.0,,1.0,2.0,,,
23,"Leppitsch, Justin",12,4,3,15,,1.0,,4.0,7.0,1.0,,1.0,,,,3.0,8.0,1.0,,7.0,,,
11,"Lynch, Alastair",15,12,2,17,7,5.0,1.0,,,1.0,,2.0,,2.0,,3.0,12.0,3.0,11.0,3.0,,,
4,"McRae, Craig",7,2,5,12,1,1.0,,2.0,1.0,2.0,2.0,1.0,,,,3.0,8.0,,,1.0,1.0,,
15,"Michael, Mal",5,3,4,9,,,,1.0,3.0,,,,,,,5.0,4.0,,,7.0,,,
8,"Notting, Tim",7,4,7,14,1,,2.0,5.0,1.0,5.0,2.0,1.0,,1.0,,5.0,9.0,,1.0,3.0,1.0,,
13,"Pike, Martin",6,4,10,16,,,,7.0,,2.0,3.0,5.0,,1.0,,7.0,9.0,,,5.0,2.0,,
6,"Power, Luke",5,1,5,10,,,,3.0,,2.0,1.0,3.0,,,,2.0,8.0,,,3.0,1.0,,
5,"Scott, Brad",13,6,5,18,,,,4.0,2.0,2.0,3.0,2.0,,2.0,,2.0,15.0,,,3.0,1.0,,
22,"Scott, Chris",9,6,1,10,,,,,6.0,,,,1.0,,,4.0,6.0,1.0,,2.0,,,
34,"Shattock, Aaron",10,5,2,12,,,,1.0,,5.0,4.0,,,,,5.0,7.0,,,2.0,,,
3,"Voss, Michael",8,2,9,17,,,,2.0,,2.0,3.0,2.0,3.0,1.0,,14.0,3.0,1.0,1.0,4.0,,,
33,"White, Darryl",4,3,4,8,1,,5.0,4.0,,2.0,1.0,,,,,4.0,4.0,1.0,1.0,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,88,104,303,17,13.0,38.0,69.0,34.0,57.0,39.0,30.0,12.0,16.0,,114.0,175.0,11.0,19.0,65.0,11.0,,
Opposition,Opposition,178,59,111,289,5,14.0,41.0,47.0,35.0,45.0,49.0,32.0,16.0,12.0,,122.0,164.0,7.0,7.0,50.0,1.0,,
