Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",28y 104d,201 (116-0-85 57.71%),175 (0.87),78 (32-0-46 41.03%),55 (0.71)
36,"Browne, Andrew",20y 30d,8 (4-0-4 50.00%),3 (0.38),←,
9,"Carr, Matthew",25y 167d,101 (35-1-65 35.15%),43 (0.43),73 (28-0-45 38.36%),41 (0.56)
10,"Cook, Troy",27y 306d,141 (63-0-78 44.68%),59 (0.42),98 (39-0-59 39.80%),48 (0.49)
38,"Cunningham, Ben",22y 204d,32 (13-0-19 40.63%),19 (0.59),←,
33,"Farmer, Jeff",26y 355d,170 (79-0-91 46.47%),333 (1.96),52 (27-0-25 51.92%),74 (1.42)
14,"Grover, Antoni",24y 94d,67 (28-0-39 41.79%),8 (0.12),←,
42,"Haddrill, Robert",23y 137d,43 (23-0-20 53.49%),,←,
4,"Hasleby, Paul",23y 1d,98 (39-0-59 39.80%),69 (0.70),←,
43,"Hayden, Roger",23y 187d,37 (21-0-16 56.76%),2 (0.05),←,
11,"Headland, Des",23y 144d,84 (59-0-25 70.24%),74 (0.88),32 (19-0-13 59.38%),22 (0.69)
20,"Longmuir, Justin",23y 144d,90 (35-0-55 38.89%),120 (1.33),←,
18,"McPharlin, Luke",22y 195d,47 (26-0-21 55.32%),13 (0.28),35 (18-0-17 51.43%),10 (0.29)
34,"Medhurst, Paul",22y 185d,55 (29-0-26 52.73%),110 (2.00),←,
23,"Parker, Shane",31y 116d,174 (62-0-112 35.63%),9 (0.05),←,
29,"Pavlich, Matthew",22y 165d,96 (38-0-58 39.58%),101 (1.05),←,
12,"Polak, Graham",19y 363d,38 (23-0-15 60.53%),3 (0.08),←,
31,"Sandilands, Aaron",21y 190d,29 (19-0-10 65.52%),6 (0.21),←,
3,"Schammer, Byron",18y 358d,28 (18-0-10 64.29%),9 (0.32),←,
2,"Simmonds, Troy",25y 336d,94 (48-0-46 51.06%),53 (0.56),54 (28-0-26 51.85%),46 (0.85)
19,"Walker, James",25y 150d,110 (42-0-68 38.18%),13 (0.12),←,
6,"Woods, Dion",22y 140d,48 (23-0-25 47.92%),4 (0.08),←,
Totals,Totals,23y 318d,1791 (843-1-947 47.07%),1226 (0.68),,
C,"Connolly, Chris",41y 80d,58 (31-0-27 53.45%),,57 (30-0-27 52.63%),
