Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Greg",12,6,5,17,,2.0,,,,,,,,1.0,,,,,,,,,
13,"Antrobus, Tony",6,4,3,9,,,,2.0,,,,,,6.0,,,,,,,,,
8,"Bewick, Darren",15,1,2,17,,4.0,,2.0,,,,,2.0,,,,,,,,,,
23,"Cransberg, Peter",10,2,3,13,,1.0,,,,,,,1.0,,,,,,,,,,
36,"Daniher, Neale",10,4,1,11,,,,,,,,,2.0,,,,,,,,,,
5,"Daniher, Terry",8,3,,8,,,,,,,,,2.0,2.0,,,,,,,,,
15,"Ezard, Alan",8,1,4,12,,1.0,,1.0,,,,,,1.0,,,,,,,,,
29,"Grenvold, David",9,2,5,14,,,,1.0,,,,,2.0,1.0,,,,,,,,,
16,"Hamilton, Paul",3,1,2,5,,,,,,,,,,2.0,,,,,,,,,
39,"Johnston, David",10,4,10,20,1,,,4.0,,,,,1.0,2.0,,,,,,,,,
9,"Kickett, Derek",7,5,1,8,1,1.0,,,,,,,1.0,1.0,,,,,,,,,
4,"Long, Michael",6,1,1,7,,1.0,,,,,,,1.0,1.0,,,,,,,,,
27,"Madden, Simon",8,6,2,10,3,,14.0,1.0,,,,,2.0,1.0,,,,,,,,,
10,"ODonnell, Gary",12,3,6,18,2,1.0,,,,,,,,,2.0,,,,,,,,
3,"Salmon, Paul",9,7,1,10,2,,12.0,1.0,,,,,2.0,,,,,,,,,,
17,"Sporn, Kieran",15,2,2,17,,,,3.0,,,,,4.0,3.0,,,,,,,,,
26,"Thompson, Mark",13,1,11,24,,,,5.0,,,,,3.0,2.0,,,,,,,,,
30,"Walsh, Kevin",8,5,8,16,,,,1.0,,,,,2.0,2.0,,,,,,,,,
32,"Watson, Tim",12,2,8,20,1,,,1.0,,,,,,2.0,,,,,,,,,
24,"Werner, Michael",8,5,,8,3,1.0,,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,65,75,264,13,16.0,26.0,24.0,,,,,26.0,27.0,2.0,,,,,,,,
Opposition,Opposition,199,56,104,303,14,8.0,15.0,19.0,,,,,27.0,26.0,4.0,,,,,,,,
