Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",25y 13d,116 (47-2-67 41.38%),295 (2.54),←,
3,"Coniglio, Stephen",24y 120d,99 (44-0-55 44.44%),46 (0.46),←,
35,"Corr, Aidan",23y 332d,63 (27-2-34 44.44%),1 (0.02),←,
1,"Davis, Phil",27y 227d,125 (58-2-65 47.20%),6 (0.05),107 (47-2-58 44.86%),5 (0.05)
24,"de Boer, Matt",28y 35d,157 (90-3-64 58.28%),60 (0.38),19 (12-2-5 68.42%),12 (0.63)
7,"Deledio, Brett",30y 361d,254 (117-5-132 47.05%),187 (0.74),11 (7-0-4 63.64%),5 (0.45)
31,"Finlayson, Jeremy",22y 64d,5 (3-1-1 70.00%),,←,
4,"Greene, Toby",24y 201d,119 (48-0-71 40.34%),129 (1.08),←,
32,"Griffen, Ryan",31y 261d,242 (122-1-119 50.62%),148 (0.61),40 (25-0-15 62.50%),18 (0.45)
19,"Haynes, Nick",25y 331d,85 (39-2-44 47.06%),8 (0.09),←,
27,"Himmelberg, Harry",21y 341d,20 (15-0-5 75.00%),12 (0.60),←,
2,"Hopper, Jacob",21y 67d,25 (17-0-8 68.00%),11 (0.44),←,
38,"Lloyd, Daniel",26y 55d,11 (8-2-1 81.82%),8 (0.73),←,
12,"Patton, Jonathon",24y 329d,81 (39-2-40 49.38%),123 (1.52),←,
50,"Reid, Sam",28y 158d,47 (25-2-20 55.32%),20 (0.43),37 (19-2-16 54.05%),19 (0.51)
23,"Shaw, Heath",32y 138d,266 (162-4-100 61.65%),39 (0.15),93 (52-2-39 56.99%),2 (0.02)
5,"Shiel, Dylan",25y 36d,116 (49-2-65 43.10%),59 (0.51),←,
26,"Simpson, Dawson",29y 56d,31 (22-0-9 70.97%),4 (0.13),3 (3-0-0 100.00%),
14,"Taranto, Tim",20y 76d,18 (13-0-5 72.22%),8 (0.44),←,
20,"Tomlinson, Adam",24y 247d,95 (35-2-58 37.89%),21 (0.22),←,
8,"Ward, Callan",28y 4d,196 (86-2-108 44.39%),99 (0.51),136 (54-2-80 40.44%),66 (0.49)
6,"Whitfield, Lachie",23y 270d,94 (41-2-51 44.68%),44 (0.47),←,
Totals,Totals,25y 335d,2265 (1107-36-1122 48.87%),1328 (0.59),,
C,"Cameron, Leon",45y 224d,97 (52-2-43 54.64%),,←,
