Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
35,"Bond, Chris",28y 161d,114 (53-1-60 46.93%),39 (0.34),92 (45-1-46 49.46%),31 (0.34)
17,"Broderick, Paul",27y 184d,176 (83-1-92 47.44%),123 (0.70),83 (44-1-38 53.61%),43 (0.52)
21,"Bulluss, Paul",27y 164d,71 (27-1-43 38.73%),19 (0.27),←,
9,"Campbell, Wayne",24y 286d,133 (57-1-75 43.23%),79 (0.59),←,
40,"Chaffey, Mark",20y 61d,9 (3-0-6 33.33%),1 (0.11),←,
10,"Daffy, Nick",24y 56d,81 (43-1-37 53.70%),107 (1.32),←,
42,"Donati, Daniel",19y 280d,1 (0-0-1 0.00%),,←,
25,"Gale, Brendon",28y 353d,156 (64-1-91 41.35%),168 (1.08),←,
1,"Gale, Michael",30y 197d,176 (77-1-98 44.03%),46 (0.26),71 (36-1-34 51.41%),17 (0.24)
2,"Gaspar, Darren",21y 47d,55 (22-0-33 40.00%),2 (0.04),34 (15-0-19 44.12%),1 (0.03)
20,"Harrison, Ben",22y 170d,18 (8-0-10 44.44%),3 (0.17),16 (6-0-10 37.50%),3 (0.19)
16,"Holland, Ben",20y 57d,24 (11-0-13 45.83%),12 (0.50),←,
3,"Kellaway, Duncan",24y 139d,91 (45-1-45 50.00%),,←,
33,"Knights, Matthew",26y 274d,166 (62-0-104 37.35%),101 (0.61),←,
13,"Powell, Robert",21y 109d,15 (7-0-8 46.67%),19 (1.27),←,
7,"Prescott, Ashley",24y 298d,60 (30-1-29 50.83%),9 (0.15),←,
12,"Richardson, Matthew",22y 109d,75 (36-0-39 48.00%),239 (3.19),←,
4,"Rogers, Matthew",23y 223d,70 (37-1-32 53.57%),59 (0.84),←,
34,"Thompson, Ewan",20y 99d,1 (0-0-1 0.00%),,←,
29,"Torney, Jason",20y 20d,23 (9-1-13 41.30%),2 (0.09),←,
41,"Turner, Scott",27y 36d,117 (46-0-71 39.32%),32 (0.27),←,
Totals,Totals,24y 36d,1632 (720-11-901 44.12%),1060 (0.65),,
C,"Walls, Robert",46y 350d,344 (161-2-181 47.09%),,36 (16-0-20 44.44%),
