Notes,Previous,Current
Greater Western Sydney's lowest score,"37 v Sydney - R1,2012","25 v Richmond - Grand Final,2019"
Greater Western Sydney's highest score conceded,"183 v North Melbourne - R2,2012",Current holder
Greater Western Sydney's biggest loss,"129 v North Melbourne - R2,2012",Current holder
