North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Leigh",4,2.0,8,12,,1.0,,3.0,,2.0,2.0,3,,1.0,,4,7,,,,,,79.0
4 ↑,"Anthony, Liam",4,2.0,6,10,,,,,,,,1,,,,3,7,,,,,,20.0
18,"Atley, Shaun",7,1.0,7,14,,,,1.0,1.0,1.0,,2,1.0,1.0,,8,6,,,3.0,1.0,,88.0
3,"Bastinac, Ryan",11,3.0,8,19,1.0,,,3.0,1.0,3.0,5.0,1,2.0,1.0,,7,12,,,2.0,,1.0,70.0
10,"Cunnington, Ben",10,3.0,13,23,1.0,,,2.0,1.0,2.0,9.0,1,2.0,1.0,,13,12,,1.0,1.0,,,64.0
11,"Firrito, Michael",13,7.0,6,19,,,,1.0,5.0,2.0,1.0,2,1.0,1.0,,6,11,1.0,,1.0,,,97.0
43,"Gibson, Sam",7,5.0,9,16,1.0,,,1.0,2.0,1.0,,1,,,,2,13,,,,,,73.0
22,"Goldstein, Todd",9,5.0,6,15,1.0,1.0,38.0,1.0,2.0,5.0,2.0,2,1.0,1.0,,7,8,1.0,1.0,2.0,,,98.0
17,"Grima, Nathan",9,2.0,4,13,,,,,2.0,1.0,,3,,1.0,,2,11,,,8.0,1.0,,94.0
6,"Hansen, Lachlan",9,6.0,5,14,2.0,1.0,,1.0,2.0,4.0,,1,1.0,,,4,10,,2.0,3.0,,,97.0
23,"Harper, Kieran",2,1.0,1,3,,,,7.0,,1.0,,2,,1.0,,2,3,,,4.0,,1.0,77.0
5 ↓,"Jacobs, Ben",3,1.0,9,12,,1.0,,,,1.0,2.0,1,,,,6,6,,,1.0,,,62.0
34,"Macmillan, Jamie",10,2.0,6,16,,1.0,,1.0,1.0,2.0,2.0,3,,1.0,,4,12,,,,,,88.0
41,"Mullett, Aaron",18,5.0,4,22,1.0,,,1.0,4.0,2.0,,1,2.0,,,7,12,1.0,,3.0,,1.0,93.0
20,"Petrie, Drew",10,4.0,3,13,1.0,1.0,2.0,,,2.0,2.0,3,3.0,1.0,,9,5,1.0,2.0,1.0,,,100.0
9,"Swallow, Andrew",18,5.0,16,34,,2.0,,9.0,2.0,4.0,7.0,3,2.0,,3.0,13,19,,1.0,1.0,,2.0,85.0
25,"Tarrant, Robbie",10,6.0,6,16,1.0,,,1.0,,2.0,,2,,2.0,,5,11,,,,,2.0,100.0
12,"Thomas, Lindsay",10,,2,12,4.0,1.0,,2.0,,2.0,1.0,2,4.0,1.0,,5,6,,,,,,79.0
16,"Thompson, Scott",13,6.0,6,19,,,,,3.0,1.0,,2,3.0,2.0,,6,12,2.0,,3.0,,1.0,97.0
8,"Wells, Daniel",17,4.0,8,25,,,4.0,,4.0,5.0,3.0,3,1.0,2.0,,8,18,,,3.0,2.0,1.0,81.0
19,"Wright, Sam",2,1.0,5,7,,,,,,1.0,,2,,2.0,,3,4,,,3.0,,,87.0
7,"Ziebell, Jack",13,2.0,6,19,,,,5.0,,9.0,7.0,4,,3.0,,13,6,1.0,,2.0,,,71.0
Totals,Totals,209,73.0,144,353,13.0,9.0,44.0,39.0,30.0,53.0,43.0,45,23.0,22.0,3.0,137,211,7.0,7.0,41.0,4.0,9.0,
Opposition,Opposition,210,92.0,117,327,15.0,13.0,26.0,57.0,37.0,52.0,32.0,46,22.0,23.0,3.0,142,184,15.0,14.0,43.0,5.0,11.0,
