Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Allen, Scott",5.0,1.0,1.0,6.0,,2.0,,2.0,,,,,,1.0,,,,,,,,,
19,"Beveridge, Luke",11.0,3.0,7.0,18.0,,,,4.0,,,,,2.0,1.0,,,,,,,,,
18,"Cameron, Leon",19.0,5.0,8.0,27.0,1.0,,,,,,,,,2.0,,,,,,,,,
3,"Grant, Chris",9.0,7.0,6.0,15.0,,3.0,1.0,3.0,,,,,,6.0,,,,,,,,,
1,"Grgic, Ilija",8.0,6.0,7.0,15.0,1.0,,9.0,2.0,,,,,2.0,,,,,,,,,,
29,"Griffin, Daryl",5.0,2.0,3.0,8.0,,,,,,,,,,2.0,,,,,,,,,
37,"Hargraves, Daniel",6.0,3.0,,6.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
6,"Johnson, Brad",9.0,1.0,9.0,18.0,,1.0,2.0,4.0,,,,,1.0,2.0,,,,,,,,,
36,"Lane, Tyson",4.0,3.0,3.0,7.0,,,,1.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",13.0,4.0,5.0,18.0,,,,5.0,,,,,2.0,2.0,,,,,,,,,
27,"Macpherson, Stephen",11.0,5.0,6.0,17.0,,,,1.0,,,,,2.0,1.0,,,,,,,,,
23,"Martin, Michael",8.0,,6.0,14.0,,,,1.0,,,,,,1.0,,,,,,,,,
9,"Nicholson, Brad",7.0,2.0,5.0,12.0,,,,,,,,,,,,,,,,,,,
44,"Osborne, Richard",7.0,3.0,3.0,10.0,1.0,2.0,,,,,,,,,,,,,,,,,
11,"Romero, Jose",12.0,4.0,3.0,15.0,,,,1.0,,,,,2.0,,,,,,,,,,
5,"Smith, Rohan",14.0,4.0,10.0,24.0,,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,
8,"Southern, Daniel",4.0,4.0,6.0,10.0,,,,1.0,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",,,,,,,,,,,,,,,,,,,,,,,
24,"Wallis, Stephen",10.0,2.0,5.0,15.0,,,,2.0,,,,,1.0,,,,,,,,,,
7,"West, Scott",13.0,2.0,7.0,20.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",2.0,,2.0,4.0,,,10.0,1.0,,,,,2.0,,,,,,,,,,
Totals,Totals,177.0,61.0,102.0,279.0,6.0,10.0,23.0,30.0,,,,,17.0,20.0,2.0,,,,,,,,
Opposition,Opposition,191.0,49.0,127.0,318.0,12.0,18.0,27.0,30.0,,,,,20.0,27.0,4.0,,,,,,,,
