Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",22,6,7,29,,,,4.0,5.0,6.0,2.0,5.0,1.0,3.0,,4.0,23.0,,,1.0,,1.0,83.0
14,"Aish, James",11,4,9,20,,,,3.0,1.0,4.0,2.0,1.0,1.0,,,6.0,14.0,,,2.0,,1.0,76.0
11,"Blair, Jarryd",5,1,11,16,,,,8.0,,3.0,5.0,2.0,2.0,1.0,,8.0,9.0,,,1.0,1.0,,81.0
16,"Brown, Nathan",7,3,8,15,,,,2.0,1.0,1.0,,,2.0,,,5.0,9.0,,,7.0,,,90.0
32,"Cloke, Travis",11,5,4,15,2,,4.0,2.0,,2.0,,2.0,,,,4.0,11.0,1.0,2.0,2.0,,1.0,76.0
25,"Crisp, Jack",8,4,11,19,,,4.0,6.0,1.0,1.0,2.0,,,,,8.0,12.0,,,,,,86.0
2,"de Goey, Jordan",9,2,13,22,,1.0,,4.0,,2.0,5.0,1.0,,,,10.0,10.0,,,2.0,,,80.0
1,"Fasolo, Alex",8,3,10,18,1,2.0,,5.0,,4.0,1.0,2.0,,2.0,,7.0,12.0,1.0,,,,1.0,91.0
19,"Greenwood, Levi",7,2,11,18,,1.0,,13.0,,4.0,,4.0,2.0,,,14.0,6.0,1.0,,2.0,,1.0,82.0
4,"Grundy, Brodie",8,4,15,23,,,25.0,5.0,2.0,2.0,4.0,7.0,3.0,3.0,,12.0,16.0,1.0,,2.0,,,85.0
38,"Howe, Jeremy",6,5,8,14,,,,6.0,,4.0,,3.0,1.0,1.0,,7.0,7.0,2.0,1.0,,,,81.0
8,"Langdon, Tom",17,2,9,26,,,,4.0,6.0,2.0,,4.0,1.0,1.0,,8.0,15.0,,,5.0,,,81.0
30,"Moore, Darcy",5,7,5,10,1,1.0,,6.0,,1.0,,3.0,1.0,1.0,,6.0,5.0,3.0,2.0,7.0,,,76.0
43,"Oxley, Adam",16,4,5,21,,,,1.0,3.0,6.0,,1.0,2.0,,,6.0,16.0,,,4.0,2.0,1.0,78.0
10,"Pendlebury, Scott",11,2,14,25,,,1.0,9.0,4.0,1.0,5.0,2.0,2.0,1.0,,14.0,11.0,,,6.0,,,85.0
20,"Reid, Ben",10,10,8,18,,,,,6.0,,,1.0,1.0,,,7.0,12.0,3.0,,3.0,,,81.0
22,"Sidebottom, Steele",14,6,12,26,2,1.0,,7.0,3.0,1.0,4.0,1.0,,1.0,,6.0,20.0,1.0,1.0,1.0,,,87.0
28,"Sinclair, Ben",5,,4,9,1,,,1.0,2.0,1.0,,,,,,1.0,7.0,,,1.0,,,45.0
34,"Toovey, Alan",5,2,7,12,,,,3.0,1.0,1.0,,,,,,4.0,8.0,,,,,,94.0
7,"Treloar, Adam",17,7,14,31,1,1.0,,4.0,2.0,4.0,6.0,,,,,9.0,22.0,,,,1.0,2.0,83.0
18,"Varcoe, Travis",7,3,6,13,1,1.0,,4.0,1.0,2.0,,3.0,,1.0,,1.0,10.0,,2.0,1.0,2.0,,84.0
9,"White, Jesse",6,3,6,12,,,,2.0,1.0,3.0,,1.0,,,,3.0,9.0,,,3.0,,,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,85,197,412,9,13.0,34.0,99.0,39.0,55.0,36.0,43.0,19.0,15.0,,150.0,264.0,13.0,8.0,50.0,6.0,8.0,
Opposition,Opposition,210,98,223,433,16,6.0,40.0,84.0,44.0,57.0,31.0,53.0,15.0,19.0,6.0,154.0,278.0,13.0,13.0,56.0,6.0,13.0,
