Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 91d,285 (167-0-118 58.60%),139 (0.49),←,
16,"Brown, Leigh",24y 120d,141 (56-1-84 40.07%),55 (0.39),78 (37-1-40 48.08%),35 (0.45)
24,"Firrito, Michael",22y 208d,48 (25-0-23 52.08%),10 (0.21),←,
38,"Gibson, Josh",22y 102d,10 (3-0-7 30.00%),,←,
6,"Grant, Shannon",29y 65d,249 (138-2-109 55.82%),288 (1.16),191 (106-1-84 55.76%),250 (1.31)
15,"Green, Kasey",26y 286d,66 (24-1-41 37.12%),16 (0.24),12 (3-0-9 25.00%),8 (0.67)
31,"Hale, David",22y 32d,49 (20-0-29 40.82%),24 (0.49),←,
39,"Harding, Leigh",25y 58d,80 (40-1-39 50.63%),115 (1.44),←,
4,"Harris, Daniel",24y 44d,81 (39-1-41 48.77%),27 (0.33),←,
29,"Harvey, Brent",28y 40d,206 (116-1-89 56.55%),238 (1.16),←,
22,"Jones, Chad",22y 8d,5 (1-0-4 20.00%),1 (0.20),←,
21,"Jones, Corey",25y 117d,93 (42-0-51 45.16%),112 (1.20),←,
35,"Makepeace, Troy",27y 109d,134 (67-1-66 50.37%),35 (0.26),←,
20,"Petrie, Drew",23y 251d,96 (45-1-50 47.40%),73 (0.76),←,
30,"Pratt, Daniel",23y 94d,31 (14-0-17 45.16%),2 (0.06),28 (13-0-15 46.43%),1 (0.04)
3,"Rawlings, Brady",25y 13d,123 (63-0-60 51.22%),49 (0.40),←,
34,"Schwarze, Ben",22y 303d,2 (1-0-1 50.00%),,←,
7,"Simpson, Adam",30y 127d,235 (137-1-97 58.51%),69 (0.29),←,
9,"Sinclair, Jess",27y 301d,151 (57-1-93 38.08%),58 (0.38),101 (44-1-56 44.06%),32 (0.32)
23,"Thompson, Nathan",28y 129d,154 (71-1-82 46.43%),272 (1.77),35 (16-0-19 45.71%),80 (2.29)
36,"Watt, Shannon",25y 209d,98 (49-1-48 50.51%),5 (0.05),←,
8,"Wells, Daniel",21y 140d,74 (36-1-37 49.32%),43 (0.58),←,
Totals,Totals,25y 179d,2411 (1211-14-1186 50.23%),1631 (0.68),,
C,"Laidley, Dani",39y 88d,79 (37-1-41 47.47%),,←,
