Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Boyd, Matthew",21,5,15,36,,,,4.0,,8.0,2.0,1.0,1.0,,2.0,7.0,30.0,1.0,1.0,1.0,,1.0,88.0
17,"Cooney, Adam",15,5,6,21,2,,,3.0,1.0,5.0,2.0,6.0,1.0,,,6.0,17.0,,,3.0,,,84.0
4,"Cross, Daniel",15,11,22,37,,1.0,,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,12.0,25.0,1.0,,2.0,1.0,1.0,87.0
13 ↓,"Giansiracusa, Daniel",10,9,4,14,,1.0,,1.0,,2.0,,4.0,,1.0,,2.0,13.0,,1.0,,,2.0,57.0
9,"Gilbee, Lindsay",13,3,8,21,,,,3.0,1.0,5.0,1.0,2.0,2.0,,,7.0,14.0,,,4.0,,2.0,81.0
1,"Grant, Jarrad",2,3,9,11,,,,2.0,,1.0,,2.0,,1.0,,5.0,6.0,,,,,1.0,88.0
16,"Griffen, Ryan",17,3,14,31,1,2.0,,5.0,,10.0,4.0,1.0,1.0,,,14.0,17.0,,1.0,,,,86.0
28,"Hall, Barry",9,5,2,11,5,1.0,2.0,,,1.0,,2.0,2.0,2.0,,5.0,6.0,1.0,3.0,1.0,,1.0,88.0
7,"Higgins, Shaun",16,9,16,32,1,4.0,,3.0,2.0,4.0,2.0,6.0,,1.0,1.0,16.0,17.0,2.0,4.0,,,1.0,85.0
20,"Hill, Josh",15,9,5,20,2,1.0,,4.0,,7.0,,3.0,2.0,,,4.0,18.0,,,6.0,3.0,,86.0
15,"Hudson, Ben",7,5,12,19,1,,25.0,2.0,2.0,3.0,6.0,1.0,,1.0,,11.0,8.0,2.0,1.0,,,,76.0
36,"Lake, Brian",11,6,3,14,,,,,2.0,1.0,,,1.0,,,6.0,6.0,3.0,,6.0,,,93.0
21,"Liberatore, Tom",8,4,8,16,,,,6.0,2.0,3.0,1.0,1.0,,,,3.0,13.0,,,1.0,,,73.0
37,"Markovic, Lukas",7,2,3,10,,,,,3.0,,,1.0,2.0,,,4.0,6.0,,,2.0,1.0,,90.0
38,"Morris, Dale",12,8,6,18,,,,3.0,2.0,1.0,,1.0,,,,7.0,11.0,2.0,,4.0,,,95.0
2,"Murphy, Robert",23,7,3,26,1,,,1.0,9.0,2.0,,2.0,,1.0,,3.0,21.0,,1.0,1.0,4.0,,82.0
42,"Picken, Liam",5,2,7,12,1,,,5.0,1.0,,,1.0,,1.0,,4.0,8.0,,,3.0,,,89.0
23,"Roughead, Jordan",7,9,7,14,2,1.0,6.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,,8.0,6.0,4.0,2.0,3.0,,1.0,84.0
10,"Sherman, Justin",7,6,7,14,1,,,1.0,1.0,3.0,,1.0,,1.0,,2.0,12.0,,,,2.0,1.0,86.0
18 ↑,"Stack, Brennan",4,,4,8,,,,,2.0,1.0,,1.0,,,,2.0,6.0,,,1.0,,,30.0
14,"Ward, Callan",5,3,10,15,1,1.0,,5.0,,1.0,3.0,,,,,10.0,6.0,,,1.0,1.0,,82.0
12,"Williams, Tom",7,4,3,10,,,,1.0,3.0,,,1.0,1.0,,,5.0,4.0,,,1.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,236,118,174,410,18,14.0,33.0,51.0,35.0,63.0,26.0,42.0,20.0,14.0,6.0,143.0,270.0,16.0,14.0,40.0,12.0,11.0,
Opposition,Opposition,194,99,144,338,7,9.0,28.0,56.0,39.0,42.0,35.0,46.0,14.0,19.0,,117.0,222.0,6.0,2.0,64.0,16.0,2.0,
