Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Bannister, Jordan",22y 230d,36 (16-1-19 45.83%),5 (0.14),22 (8-0-14 36.36%),5 (0.23)
19,"Betts, Eddie",18y 204d,12 (2-1-9 20.83%),12 (1.00),←,
18,"Bowyer, Glen",25y 172d,52 (28-1-23 54.81%),14 (0.27),17 (5-1-11 32.35%),
27,"Bryan, Chris",23y 104d,3 (0-0-3 0.00%),1 (0.33),←,
16,"Camporeale, Scott",29y 311d,224 (113-0-111 50.45%),195 (0.87),←,
44,"Carrazzo, Andrew",21y 185d,13 (4-1-8 34.62%),2 (0.15),←,
22,"Chambers, Callum",25y 211d,58 (21-2-35 37.93%),40 (0.69),4 (1-1-2 37.50%),2 (0.50)
7,"Davies, Justin",21y 346d,40 (10-1-29 26.25%),18 (0.45),←,
25,"Fevola, Brendan",24y 149d,94 (37-1-56 39.89%),228 (2.43),←,
33,"Houlihan, Ryan",23y 148d,110 (40-1-69 36.82%),80 (0.73),←,
10,"Johnson, Brett",23y 233d,67 (31-1-35 47.01%),17 (0.25),29 (10-1-18 36.21%),7 (0.24)
43,"Koutoufides, Anthony",32y 151d,240 (129-2-109 54.17%),201 (0.84),←,
12,"Lappin, Matthew",29y 121d,205 (90-2-113 44.39%),212 (1.03),150 (62-1-87 41.67%),186 (1.24)
20,"McGrath, Cory",26y 134d,50 (26-1-23 53.00%),16 (0.32),22 (8-1-13 38.64%),2 (0.09)
28,"Prendergast, Ian",24y 289d,58 (17-0-41 29.31%),13 (0.22),←,
29,"Scotland, Heath",24y 332d,85 (35-0-50 41.18%),28 (0.33),32 (12-0-20 37.50%),16 (0.50)
6,"Simpson, Kade",21y 44d,13 (5-0-8 38.46%),1 (0.08),←,
36,"Sporn, Trent",22y 268d,39 (9-1-29 24.36%),6 (0.15),←,
24,"Stevens, Nick",25y 166d,160 (85-3-72 54.06%),91 (0.57),33 (11-1-21 34.85%),13 (0.39)
32,"Thornton, Bret",21y 215d,62 (17-0-45 27.42%),1 (0.02),←,
1,"Walker, Andrew",19y 31d,26 (8-1-17 32.69%),6 (0.23),←,
8,"Whitnall, Lance",25y 299d,170 (80-1-89 47.35%),312 (1.84),←,
Totals,Totals,24y 98d,1817 (803-21-993 44.19%),1499 (0.82),,
C,"Pagan, Denis",57y 267d,297 (166-1-130 56.06%),,57 (16-1-40 28.95%),
