Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
1,"Anderson, Greg",26y 337d,106 (70-0-36 66.04%),67 (0.63),3 (3-0-0 100.00%),7 (2.33)
26,"Bickley, Mark",23y 255d,43 (22-0-21 51.16%),6 (0.14),←,
21,"Brown, David",23y 199d,21 (12-0-9 57.14%),24 (1.14),←,
50,"Groom, Chris",19y 231d,3 (3-0-0 100.00%),3 (1.00),←,
34,"Hart, Ben",18y 281d,25 (14-0-11 56.00%),4 (0.16),←,
35,"Jameson, Rod",22y 290d,36 (20-0-16 55.56%),74 (2.06),←,
2,"Jarman, Andrew",27y 92d,40 (22-0-18 55.00%),22 (0.55),←,
13,"Lee, Scott",29y 315d,46 (24-0-22 52.17%),14 (0.30),←,
27,"Liptak, Matthew",22y 351d,37 (21-0-16 56.76%),52 (1.41),←,
18,"Maynard, Rodney",26y 207d,47 (24-0-23 51.06%),11 (0.23),←,
10,"McDermott, Chris",29y 163d,46 (24-0-22 52.17%),18 (0.39),←,
11,"McGuinness, Tony",28y 345d,152 (73-2-77 48.68%),155 (1.02),43 (23-0-20 53.49%),47 (1.09)
6,"Modra, Tony",24y 46d,11 (7-0-4 63.64%),43 (3.91),←,
15,"Pittman, David",24y 52d,4 (3-0-1 75.00%),1 (0.25),←,
45,"Rouvray, Paul",20y 363d,4 (4-0-0 100.00%),,←,
3,"Rowe, Stephen",27y 164d,14 (7-0-7 50.00%),11 (0.79),←,
7,"Smart, Nigel",23y 330d,40 (20-0-20 50.00%),3 (0.08),←,
4,"Tasker, Sean",24y 302d,23 (9-0-14 39.13%),8 (0.35),←,
12,"Tregenza, Simon",22y 38d,33 (18-0-15 54.55%),6 (0.18),←,
33,"Weidemann, Wayne",26y 177d,23 (12-0-11 52.17%),1 (0.04),←,
Totals,Totals,24y 263d,754 (409-2-343 54.24%),523 (0.69),,
C,"Cornes, Graham",45y 16d,47 (24-0-23 51.06%),,←,
