Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",8,3,8,16,1,1.0,,3.0,,4.0,3.0,5.0,,2.0,,5.0,12.0,,,,,3.0,71.0
14,"Cameron, Darcy",8,4,3,11,,1.0,29.0,2.0,,,3.0,4.0,4.0,3.0,,9.0,4.0,2.0,,3.0,,,77.0
46,"Cox, Mason",6,5,,6,2,,16.0,1.0,,4.0,1.0,2.0,,2.0,,5.0,2.0,3.0,2.0,1.0,,1.0,52.0
25,"Crisp, Jack",11,4,11,22,,1.0,,4.0,1.0,4.0,3.0,3.0,,1.0,,9.0,13.0,,1.0,,2.0,1.0,78.0
7,"Daicos, Josh",16,3,11,27,,,,3.0,5.0,6.0,5.0,,,,,9.0,18.0,,,1.0,,,92.0
35,"Daicos, Nick",21,7,14,35,,,,,3.0,5.0,3.0,2.0,2.0,,2.0,10.0,21.0,,,1.0,1.0,1.0,86.0
2,"de Goey, Jordan",12,8,13,25,3,,,2.0,,6.0,4.0,3.0,1.0,,3.0,7.0,18.0,,3.0,2.0,,3.0,84.0
5,"Elliott, Jamie",8,6,5,13,,2.0,,1.0,1.0,2.0,,2.0,,,,1.0,12.0,,2.0,,,,89.0
23,"Hill, Bobby",8,7,2,10,3,,,3.0,,5.0,1.0,1.0,2.0,,,2.0,10.0,,2.0,,,1.0,81.0
32,"Hoskin-Elliott, Will",12,5,6,18,,,,2.0,2.0,2.0,3.0,6.0,1.0,,,7.0,9.0,1.0,,4.0,,,71.0
38 ↓,"Howe, Jeremy",6,3,2,8,,,,,2.0,1.0,,,,,,1.0,7.0,,,3.0,,,46.0
4,"Maynard, Brayden",13,7,6,19,,,,2.0,1.0,2.0,,4.0,1.0,2.0,,6.0,12.0,,,3.0,,,86.0
31,"McCreery, Beau",13,5,7,20,2,,,1.0,,5.0,1.0,1.0,,1.0,,5.0,15.0,,1.0,1.0,,2.0,72.0
26 ↑,"McInnes, Reef",3,1,1,4,2,1.0,,2.0,,,,,1.0,,,3.0,1.0,,1.0,,,1.0,38.0
11,"McStay, Daniel",4,3,2,6,1,1.0,,2.0,,,,,1.0,,,2.0,4.0,,1.0,1.0,,,95.0
41,"Mihocek, Brody",6,5,3,9,2,1.0,,2.0,,2.0,,3.0,2.0,1.0,,4.0,5.0,1.0,2.0,1.0,,,85.0
6,"Mitchell, Tom",9,3,12,21,2,,,4.0,,2.0,10.0,2.0,2.0,2.0,,14.0,7.0,,1.0,,,,76.0
30,"Moore, Darcy",12,5,1,13,,,,1.0,5.0,2.0,,4.0,2.0,,1.0,9.0,4.0,2.0,,12.0,,,100.0
28,"Murphy, Nathan",5,3,1,6,,,,,2.0,,,2.0,1.0,2.0,,1.0,5.0,,,9.0,,,88.0
9,"Noble, John",23,7,6,29,,,,1.0,6.0,5.0,,4.0,2.0,1.0,,5.0,23.0,,,,,2.0,82.0
10,"Pendlebury, Scott",13,4,14,27,1,,,8.0,,2.0,4.0,1.0,1.0,,,10.0,15.0,,,,,1.0,82.0
3,"Quaynor, Isaac",4,2,4,8,,,,4.0,1.0,,,3.0,1.0,2.0,,5.0,3.0,1.0,,2.0,,,79.0
22,"Sidebottom, Steele",8,5,11,19,,,,4.0,,3.0,2.0,4.0,,2.0,,6.0,13.0,,,2.0,2.0,1.0,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,105,143,372,19,11.0,45.0,52.0,29.0,62.0,43.0,56.0,24.0,21.0,6.0,135.0,233.0,10.0,16.0,46.0,5.0,17.0,
Opposition,Opposition,182,69,133,315,16,7.0,38.0,44.0,43.0,46.0,35.0,60.0,21.0,24.0,,130.0,170.0,13.0,16.0,43.0,4.0,9.0,
