Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",17,8,6,23,1,,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,,4.0,19.0,,,1.0,,1.0,79.0
14,"Birchall, Grant",18,10,10,28,,,,,,1.0,,3.0,1.0,,,9.0,19.0,2.0,,,3.0,,83.0
30,"Brown, Campbell",8,6,12,20,,,,2.0,1.0,4.0,,3.0,,1.0,,8.0,12.0,1.0,,2.0,,,97.0
39,"Campbell, Robert",6,5,9,15,,,15.0,5.0,,4.0,2.0,4.0,2.0,2.0,,6.0,9.0,2.0,,2.0,,1.0,66.0
9,"Crawford, Shane",8,4,8,16,,,,1.0,3.0,1.0,,4.0,,1.0,,2.0,14.0,,,1.0,,,64.0
24,"Croad, Trent",2,1,10,12,,,,,,,1.0,1.0,,1.0,,3.0,9.0,,,4.0,,,83.0
31,"Dew, Stuart",5,2,6,11,1,,,2.0,,2.0,3.0,1.0,1.0,,,7.0,4.0,,,1.0,,2.0,69.0
8,"Ellis, Xavier",7,6,21,28,,,,,2.0,2.0,6.0,1.0,1.0,1.0,1.0,10.0,18.0,,,1.0,1.0,1.0,84.0
23,"Franklin, Lance",17,12,4,21,8,6.0,,1.0,,4.0,,7.0,1.0,5.0,3.0,13.0,8.0,7.0,10.0,4.0,,2.0,96.0
27,"Gilham, Stephen",13,15,6,19,1,,,1.0,3.0,,,1.0,1.0,1.0,,3.0,18.0,,1.0,5.0,,,99.0
18,"Guerra, Brent",20,7,8,28,,1.0,,1.0,4.0,3.0,,2.0,1.0,,,3.0,22.0,,,2.0,3.0,,85.0
15,"Hodge, Luke",21,10,11,32,,1.0,,2.0,6.0,5.0,,1.0,1.0,,,7.0,25.0,2.0,,3.0,2.0,1.0,78.0
4,"Ladson, Rick",7,4,13,20,,,,,,4.0,,2.0,,,,,19.0,,,1.0,1.0,1.0,71.0
3,"Lewis, Jordan",13,9,25,38,,,,,2.0,8.0,4.0,2.0,,2.0,2.0,9.0,27.0,1.0,,3.0,1.0,1.0,85.0
5,"Mitchell, Sam",18,6,17,35,,,,3.0,,9.0,8.0,2.0,1.0,1.0,,12.0,25.0,,,,,,91.0
29,"Murphy, Tom",6,7,5,11,,,,2.0,3.0,,,2.0,1.0,,,1.0,9.0,,,2.0,,,86.0
33,"Rioli, Cyril",7,2,4,11,,2.0,,4.0,,,,3.0,3.0,1.0,,5.0,7.0,,,,,1.0,93.0
2,"Roughead, Jarryd",13,7,4,17,4,1.0,1.0,4.0,,4.0,,5.0,,1.0,,6.0,11.0,3.0,5.0,1.0,,1.0,94.0
12,"Sewell, Brad",5,1,11,16,1,,,6.0,,1.0,6.0,1.0,1.0,,,7.0,9.0,,,,,,88.0
44,"Stokes, Cameron",4,3,8,12,,1.0,,2.0,1.0,2.0,1.0,3.0,,,,3.0,9.0,,,1.0,1.0,1.0,75.0
13,"Taylor, Simon",3,,9,12,,,9.0,2.0,,2.0,4.0,2.0,3.0,2.0,,6.0,6.0,,,1.0,,,46.0
6,"Williams, Mark",5,2,1,6,1,,,,,1.0,1.0,2.0,,1.0,,4.0,2.0,,,,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,127,208,431,17,14.0,25.0,39.0,27.0,60.0,37.0,53.0,20.0,21.0,6.0,128.0,301.0,18.0,16.0,35.0,12.0,13.0,
Opposition,Opposition,187,81,157,344,8,14.0,32.0,44.0,39.0,42.0,29.0,61.0,21.0,20.0,,120.0,224.0,9.0,15.0,36.0,6.0,6.0,
