Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Atkins, Rory",24y 324d,88 (58-1-29 66.48%),44 (0.50),←,
18,"Betts, Eddie",32y 187d,306 (149-3-154 49.18%),585 (1.91),122 (74-0-48 60.66%),295 (2.42)
16,"Brown, Luke",26y 252d,139 (81-1-57 58.63%),12 (0.09),←,
2,"Crouch, Brad",25y 138d,72 (41-0-31 56.94%),29 (0.40),←,
28,"Ellis-Yolmen, Cam",26y 124d,37 (19-0-18 51.35%),15 (0.41),←,
7,"Gallucci, Jordan",21y 28d,23 (15-0-8 65.22%),18 (0.78),←,
6,"Gibbs, Bryce",30y 78d,260 (111-2-147 43.08%),152 (0.58),29 (16-0-13 55.17%),15 (0.52)
1,"Greenwood, Hugh",27y 87d,44 (27-1-16 62.50%),30 (0.68),←,
4,"Jenkins, Josh",30y 113d,141 (82-1-58 58.51%),280 (1.99),←,
42,"Keath, Alex",27y 132d,23 (13-1-9 58.70%),1 (0.04),←,
8,"Kelly, Jake",24y 131d,64 (37-1-26 58.59%),1 (0.02),←,
29,"Laird, Rory",25y 154d,132 (80-1-51 60.98%),12 (0.09),←,
27,"Lynch, Tom",28y 259d,133 (83-1-49 62.78%),184 (1.38),127 (79-1-47 62.60%),180 (1.42)
14,"Mackay, David",30y 311d,212 (127-1-84 60.14%),60 (0.28),←,
30,"Milera, Wayne",21y 260d,50 (31-1-18 63.00%),19 (0.38),←,
44,"Murphy, Lachlan",20y 179d,22 (12-0-10 54.55%),24 (1.09),←,
43,"OBrien, Reilly",23y 285d,11 (7-0-4 63.64%),1 (0.09),←,
11,"Seedsman, Paul",27y 130d,92 (53-1-38 58.15%),46 (0.50),43 (26-1-16 61.63%),29 (0.67)
9,"Sloane, Rory",29y 76d,188 (110-1-77 58.78%),117 (0.62),←,
33,"Smith, Brodie",27y 138d,156 (95-1-60 61.22%),50 (0.32),←,
12,"Talia, Daniel",27y 242d,175 (104-1-70 59.71%),6 (0.03),←,
13,"Walker, Taylor",29y 37d,178 (102-1-75 57.58%),400 (2.25),←,
Totals,Totals,26y 266d,2546 (1437-20-1089 56.44%),2086 (0.82),,
C,"Pyke, Don",50y 178d,82 (52-1-29 64.02%),,←,
