Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Athorn, Mark",8,3,7.0,15,,,,,,,,,1.0,,,,,,,,,,
18,"Blakey, John",8,2,7.0,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
42,"Board, Terry",13,2,11.0,24,,,,,,,,,2.0,1.0,,,,,,,,,
17,"Broderick, Paul",19,3,13.0,32,,,,2.0,,,,,,1.0,,,,,,,,,
49,"Bunn, Mark",5,2,10.0,15,,,,1.0,,,,,1.0,,,,,,,,,,
2,"Dilena, Carl",24,2,10.0,34,2.0,2.0,,1.0,,,,,2.0,2.0,,,,,,,,,
7,"Gale, Michael",8,5,16.0,24,1.0,,1.0,2.0,,,,,1.0,4.0,,,,,,,,,
21,"Kappler, Darren",20,3,8.0,28,,,,1.0,,,,,2.0,,,,,,,,,,
12,"Kickett, Dale",13,3,4.0,17,2.0,2.0,,2.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",12,5,6.0,18,,,,,,,,,1.0,1.0,,,,,,,,,
16,"Matera, Wally",6,2,9.0,15,,1.0,,3.0,,,,,,3.0,,,,,,,,,
9,"Rendell, Matthew",17,3,9.0,26,,,11.0,2.0,,,,,5.0,2.0,,,,,,,,,
1,"Roos, Paul",11,9,4.0,15,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,
20,"Rowe, Duane",3,2,2.0,5,,,,1.0,,,,,,,,,,,,,,,
33,"Stephens, Brett",11,3,10.0,21,,,,1.0,,,,,,2.0,2.0,,,,,,,,
31,"Strooper, David",8,3,9.0,17,,,,1.0,,,,,1.0,2.0,,,,,,,,,
23,"Taylor, Jason",6,4,,6,3.0,,,,,,,,1.0,,,,,,,,,,
39,"Trewella, Mark",4,2,4.0,8,,1.0,,1.0,,,,,,1.0,,,,,,,,,
30,"Waterson, Chris",12,2,12.0,24,2.0,,,,,,,,,1.0,,,,,,,,,
28,"Wheildon, Darren",12,7,1.0,13,7.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
Totals,Totals,220,67,152.0,372,18.0,8.0,12.0,20.0,,,,,22.0,22.0,2.0,,,,,,,,
Opposition,Opposition,214,62,124.0,338,17.0,15.0,25.0,30.0,,,,,22.0,22.0,4.0,,,,,,,,
