Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
14,"Bird, Craig",23y 231d,85 (48-1-36 57.06%),36 (0.42),←,
24,"Bolton, Jude",32y 177d,299 (166-4-129 56.19%),165 (0.55),←,
37,"Goodes, Adam",32y 244d,317 (175-4-138 55.84%),387 (1.22),←,
4,"Hannebery, Dan",21y 197d,75 (45-1-29 60.67%),25 (0.33),←,
15,"Jack, Kieren",25y 72d,112 (61-2-49 55.36%),76 (0.68),←,
32,"Jetta, Lewis",23y 127d,63 (39-1-23 62.70%),58 (0.92),←,
34,"Johnson, Alex",20y 190d,43 (29-0-14 67.44%),1 (0.02),←,
12,"Kennedy, Josh",24y 80d,84 (49-1-34 58.93%),49 (0.58),71 (44-1-26 62.68%),45 (0.63)
9,"Malceski, Nick",28y 24d,124 (79-1-44 64.11%),52 (0.42),←,
29,"Mattner, Martin",30y 33d,213 (123-2-88 58.22%),40 (0.19),115 (63-2-50 55.65%),26 (0.23)
21,"McGlynn, Ben",27y 33d,104 (60-1-43 58.17%),111 (1.07),60 (37-1-22 62.50%),83 (1.38)
3,"McVeigh, Jarrad",27y 154d,192 (112-3-77 59.11%),139 (0.72),←,
10,"Morton, Mitch",25y 224d,74 (26-3-45 37.16%),108 (1.46),3 (2-0-1 66.67%),3 (1.00)
41,"Mumford, Shane",26y 65d,76 (52-1-23 69.08%),29 (0.38),55 (35-1-19 64.55%),26 (0.47)
5,"OKeefe, Ryan",31y 228d,255 (145-3-107 57.45%),247 (0.97),←,
26,"Parker, Luke",19y 319d,30 (18-0-12 60.00%),13 (0.43),←,
38,"Pyke, Mike",28y 168d,44 (25-0-19 56.82%),13 (0.30),←,
20,"Reid, Sam",20y 256d,44 (29-1-14 67.05%),53 (1.20),←,
25,"Richards, Ted",29y 241d,179 (103-3-73 58.38%),31 (0.17),146 (84-3-59 58.56%),12 (0.08)
30,"Roberts-Thomson, Lewis",29y,168 (98-1-69 58.63%),48 (0.29),←,
2,"Shaw, Rhyce",30y 328d,185 (98-1-86 53.24%),41 (0.22),91 (50-1-40 55.49%),21 (0.23)
40,"Smith, Nick",24y 88d,72 (40-1-31 56.25%),8 (0.11),←,
Totals,Totals,26y 175d,2838 (1620-35-1183 57.08%),1730 (0.61),,
C,"Longmire, John",41y 252d,47 (30-1-16 64.89%),,←,
