Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aleer, Leek",11,7.0,5.0,16,,,,,3.0,,,,4.0,,,8.0,8,1.0,,3.0,,,99.0
9,"Angwin, Ryan",7,1.0,5.0,12,,,,5.0,3.0,2.0,2.0,3.0,3.0,2.0,,7.0,5,,,2.0,,1.0,84.0
7,"Ash, Lachie",18,7.0,9.0,27,,,,3.0,5.0,4.0,1.0,2.0,,,,6.0,17,2.0,,1.0,2.0,,87.0
14,"Bedford, Toby",3,,6.0,9,1.0,,,2.0,1.0,1.0,1.0,2.0,2.0,,,5.0,3,,,1.0,,,74.0
32,"Briggs, Kieren",7,2.0,7.0,14,,,27.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,,10.0,3,1.0,,2.0,,2.0,63.0
46,"Brown, Callum",11,7.0,4.0,15,1.0,,,1.0,,5.0,1.0,5.0,1.0,2.0,,6.0,10,,,2.0,1.0,2.0,84.0
44,"Buckley, Jack",8,5.0,4.0,12,,,,2.0,6.0,,,1.0,,1.0,,4.0,7,1.0,,4.0,,,86.0
5,"Cadman, Aaron",13,8.0,2.0,15,6.0,1.0,,1.0,,5.0,,3.0,2.0,2.0,3.0,8.0,8,2.0,3.0,1.0,,,81.0
17,"Callaghan, Finn",17,2.0,12.0,29,,,,2.0,3.0,5.0,9.0,4.0,1.0,1.0,2.0,12.0,16,,,2.0,3.0,,89.0
37,"Fonti, Joe",9,5.0,6.0,15,,,,,3.0,2.0,1.0,6.0,,3.0,,6.0,11,,,1.0,2.0,,76.0
12,"Green, Tom",9,1.0,15.0,24,,2.0,,4.0,2.0,2.0,7.0,3.0,1.0,,,16.0,10,,,2.0,1.0,,83.0
4,"Greene, Toby",8,2.0,3.0,11,2.0,,,3.0,,2.0,2.0,5.0,2.0,4.0,,5.0,7,1.0,,1.0,,1.0,87.0
27,"Himmelberg, Harry",9,6.0,6.0,15,,,,3.0,5.0,1.0,3.0,3.0,,,,6.0,11,,,11.0,1.0,,83.0
23 ↓,"Hogan, Jesse",4,3.0,,4,1.0,2.0,,,,1.0,,1.0,1.0,1.0,,3.0,1,2.0,3.0,2.0,,,77.0
39,"Idun, Connor",9,5.0,4.0,13,,,,,6.0,,,3.0,,1.0,,2.0,11,,,10.0,2.0,,88.0
2,"Jones, Darcy",10,3.0,5.0,15,1.0,,,6.0,1.0,3.0,1.0,3.0,2.0,,,7.0,8,,,1.0,2.0,,83.0
22,"Kelly, Josh",8,6.0,7.0,15,,,,2.0,2.0,4.0,1.0,3.0,1.0,,,4.0,12,,,4.0,,,85.0
33,"OHalloran, Xavier",10,3.0,5.0,15,,,,3.0,,7.0,3.0,4.0,1.0,1.0,1.0,7.0,9,,,,1.0,,73.0
26,"Riccardi, Jake",7,5.0,3.0,10,1.0,1.0,3.0,4.0,,3.0,1.0,4.0,,2.0,,3.0,6,2.0,1.0,2.0,,1.0,79.0
24,"Rowston, Harry",14,1.0,6.0,20,,1.0,,,1.0,4.0,2.0,4.0,,,,6.0,12,,,,,1.0,72.0
20,"Stringer, Jake",8,2.0,3.0,11,4.0,2.0,,3.0,,,1.0,3.0,1.0,2.0,,6.0,5,,2.0,,,,79.0
1 ↑,"Thomas, Harvey",1,1.0,,1,,,,,,,,1.0,,1.0,,,1,,1.0,,,,7.0
6,"Whitfield, Lachie",22,11.0,10.0,32,,,,1.0,5.0,4.0,1.0,6.0,,1.0,,5.0,22,,,1.0,,,81.0
Totals,Totals,223,93.0,127.0,350,17.0,9.0,30.0,47.0,47.0,56.0,43.0,72.0,23.0,26.0,6.0,142.0,203,12.0,10.0,53.0,15.0,8.0,
Opposition,Opposition,212,87.0,114.0,326,13.0,7.0,40.0,54.0,39.0,60.0,31.0,66.0,26.0,23.0,,142.0,185,13.0,13.0,42.0,1.0,11.0,
