North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Comben, Charlie",7,4,7,14,,,,1.0,3.0,,,1.0,2.0,,,5,9,,,7.0,,,85.0
25,"Curtis, Paul",8,4,2,10,2.0,3.0,,5.0,1.0,1.0,,3.0,1.0,3.0,,4,5,,4.0,2.0,,1.0,74.0
5,"Daniel, Caleb",14,3,10,24,,,,2.0,5.0,2.0,,1.0,,1.0,,3,16,,,,1.0,,87.0
28,"Darling, Jack",4,2,2,6,1.0,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,4,2,1.0,1.0,3.0,,1.0,73.0
9,"Davies-Uniacke, Luke",11,4,19,30,,1.0,,4.0,3.0,4.0,7.0,1.0,,1.0,3.0,16,16,,,1.0,,,86.0
16 ↑,"Fisher, Zac",6,1,4,10,,,,2.0,2.0,1.0,,1.0,2.0,,,5,5,,,,,,24.0
46,"Hansen, Robert",6,4,3,9,1.0,,,,2.0,,,1.0,,1.0,,1,8,,,1.0,,,66.0
17,"Hardeman, Riley",10,3,5,15,,,,2.0,2.0,2.0,,3.0,,,,3,12,,,1.0,,1.0,67.0
41,"Konstanty, Jacob",7,3,2,9,,1.0,,5.0,,1.0,1.0,3.0,2.0,2.0,,5,4,,,1.0,,1.0,71.0
20,"Larkey, Nick",4,3,3,7,1.0,,,5.0,1.0,3.0,,1.0,,,,5,2,3.0,,5.0,,2.0,95.0
19,"Logue, Griffin",3,3,5,8,,,,1.0,1.0,,,2.0,2.0,2.0,,4,5,,,3.0,,,86.0
11,"McDonald, Luke",14,8,4,18,,,,3.0,2.0,,,,1.0,,,1,15,,,4.0,,,95.0
10,"McKercher, Colby",20,1,9,29,2.0,,,3.0,9.0,3.0,2.0,6.0,,2.0,,2,21,,,2.0,6.0,,82.0
2,"OSullivan, Finn",9,3,9,18,,,,2.0,2.0,2.0,1.0,2.0,,1.0,,3,16,,1.0,4.0,,,77.0
26,"Parker, Luke",10,5,18,28,,,,8.0,,1.0,8.0,4.0,,2.0,,12,13,,,2.0,,,81.0
32,"Pink, Toby",11,9,2,13,,,,1.0,4.0,,,,2.0,,,4,8,1.0,,6.0,,,97.0
24,"Powell, Tom",16,3,18,34,,,,5.0,3.0,5.0,8.0,4.0,,,2.0,11,25,,,1.0,,3.0,81.0
3,"Sheezel, Harry",16,9,14,30,1.0,,,3.0,,3.0,1.0,6.0,1.0,2.0,,5,26,,,1.0,,,86.0
12,"Simpkin, Jy",6,3,12,18,,,,3.0,1.0,3.0,3.0,1.0,,1.0,,11,6,1.0,,2.0,,,81.0
15,"Stephens, Dylan",8,6,5,13,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,3,9,,1.0,,,,89.0
6 ↓,"Wardlaw, George",8,2,3,11,,,,1.0,1.0,2.0,,2.0,1.0,,,5,6,,,1.0,,,45.0
38,"Xerri, Tristan",3,1,9,12,1.0,,28.0,5.0,,4.0,5.0,2.0,3.0,1.0,,11,1,1.0,,,,,86.0
44,"Zurhaar, Cameron",6,3,5,11,3.0,,,2.0,,1.0,,3.0,,1.0,,4,7,,3.0,1.0,,1.0,84.0
Totals,Totals,207,87,170,377,13.0,6.0,31.0,65.0,45.0,42.0,38.0,49.0,20.0,21.0,5.0,127,237,7.0,10.0,48.0,7.0,10.0,
Opposition,Opposition,222,113,161,383,10.0,13.0,41.0,73.0,27.0,56.0,36.0,55.0,21.0,20.0,1.0,136,246,12.0,12.0,47.0,3.0,6.0,
