West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",7,4,6,13,,,,3.0,,2.0,,1.0,,,,4.0,9.0,1.0,,1.0,,,79.0
20,"Cox, Dean",15,7,7,22,,,25.0,2.0,3.0,4.0,5.0,5.0,2.0,4.0,,10.0,12.0,2.0,,,,,81.0
18,"Dalziell, Bradd",15,5,8,23,1,,,3.0,3.0,4.0,,2.0,2.0,1.0,,6.0,17.0,1.0,,,,,75.0
5,"Ebert, Brad",14,9,6,20,,2.0,,5.0,,2.0,4.0,7.0,1.0,5.0,,7.0,15.0,,1.0,1.0,1.0,,84.0
32,"Embley, Andrew",10,4,20,30,,,,6.0,2.0,4.0,,6.0,1.0,,,13.0,18.0,,,2.0,1.0,1.0,84.0
25,"Hurn, Shannon",12,2,2,14,,,,4.0,6.0,2.0,1.0,1.0,2.0,,,4.0,4.0,,,1.0,,,95.0
38,"Jones, Brett",6,4,6,12,,,,1.0,1.0,2.0,,1.0,,,,2.0,10.0,2.0,,2.0,,,81.0
17,"Kennedy, Josh",13,9,4,17,2,,1.0,3.0,,6.0,,1.0,2.0,,,10.0,7.0,3.0,1.0,,,4.0,91.0
2,"LeCras, Mark",12,5,2,14,3,1.0,,3.0,,6.0,,,1.0,,,4.0,9.0,,1.0,,1.0,1.0,93.0
16,"Mackenzie, Eric",4,4,7,11,,,,,3.0,,,1.0,,,,3.0,7.0,,,2.0,,,91.0
42,"Maister, Beau",8,6,2,10,,,1.0,,,1.0,,3.0,,2.0,,2.0,8.0,1.0,,5.0,,1.0,73.0
35,"McGinnity, Patrick",9,2,5,14,,,,6.0,2.0,3.0,,1.0,1.0,,,5.0,9.0,,,1.0,,,88.0
27,"McKinley, Ben",10,6,4,14,3,3.0,,2.0,,,,2.0,,2.0,,2.0,11.0,,5.0,1.0,1.0,,89.0
9,"Naitanui, Nic",4,,5,9,,1.0,13.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,,7.0,3.0,,,1.0,,,79.0
6,"Nicoski, Mark",3,4,2,5,,,,2.0,,1.0,,,,,,,5.0,,,2.0,,,52.0
11,"Priddis, Matt",7,1,21,28,1,1.0,,10.0,1.0,1.0,7.0,3.0,3.0,1.0,,16.0,12.0,,1.0,1.0,,,83.0
24,"Rosa, Matt",12,8,14,26,,1.0,,4.0,1.0,3.0,2.0,2.0,1.0,1.0,,5.0,23.0,,,1.0,,,80.0
31,"Schofield, Will",5,3,5,10,,,,1.0,1.0,,,3.0,,3.0,,3.0,7.0,,,12.0,,,89.0
10,"Selwood, Scott",3,2,11,14,,,,4.0,,,2.0,1.0,1.0,,,4.0,10.0,,,2.0,,,78.0
12,"Sheppard, Brad",5,3,5,10,,,,5.0,2.0,,3.0,2.0,,1.0,,4.0,6.0,,,1.0,1.0,,65.0
47,"Stevenson, Lewis",10,4,8,18,,,,1.0,3.0,,,2.0,1.0,,,7.0,11.0,,,3.0,,,82.0
8,"Waters, Beau",15,12,12,27,1,,,3.0,2.0,2.0,1.0,6.0,1.0,1.0,,9.0,19.0,3.0,1.0,1.0,1.0,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,104,162,361,11,11.0,40.0,72.0,31.0,44.0,28.0,53.0,21.0,23.0,,127.0,232.0,13.0,10.0,40.0,6.0,7.0,
Opposition,Opposition,196,83,171,367,19,12.0,22.0,66.0,30.0,57.0,36.0,46.0,23.0,21.0,6.0,147.0,219.0,19.0,17.0,56.0,8.0,8.0,
