North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Leigh",7,7,10,17,,2.0,,1.0,3.0,2.0,2.0,2.0,,2.0,,4.0,13.0,,1.0,2.0,,,96.0
33,"Campbell, Matt",8,4,5,13,2,1.0,,9.0,,4.0,,3.0,3.0,2.0,,9.0,5.0,,1.0,4.0,1.0,,85.0
27,"Edwards, Aaron",10,7,2,12,3,2.0,,3.0,,2.0,,1.0,,1.0,,5.0,6.0,3.0,3.0,2.0,,,96.0
11,"Firrito, Michael",5,6,9,14,,,,3.0,2.0,2.0,1.0,2.0,2.0,,,3.0,11.0,,,4.0,1.0,,100.0
38,"Gibson, Josh",8,3,2,10,,,,1.0,3.0,1.0,,2.0,,1.0,,2.0,7.0,,,6.0,5.0,,62.0
6,"Grant, Shannon",8,2,8,16,1,1.0,,2.0,,4.0,2.0,1.0,2.0,1.0,,7.0,10.0,,1.0,,,1.0,90.0
4,"Harris, Daniel",10,5,4,14,,1.0,,2.0,1.0,2.0,2.0,4.0,,2.0,,3.0,10.0,,,1.0,1.0,1.0,68.0
29,"Harvey, Brent",19,7,7,26,1,,,2.0,2.0,7.0,5.0,2.0,,,3.0,8.0,18.0,1.0,,2.0,4.0,,90.0
21,"Jones, Corey",9,6,4,13,2,3.0,,4.0,,1.0,,4.0,4.0,2.0,,7.0,5.0,1.0,1.0,2.0,,,91.0
2,"Lower, Ed",8,1,6,14,,,,1.0,2.0,4.0,1.0,2.0,,2.0,,2.0,11.0,,,5.0,,,63.0
1,"McIntosh, Hamish",5,2,4,9,,,12.0,,,2.0,3.0,3.0,3.0,1.0,,3.0,6.0,,,,,,56.0
20,"Petrie, Drew",9,3,4,13,,,9.0,2.0,3.0,3.0,3.0,4.0,2.0,,,9.0,4.0,1.0,,5.0,,1.0,76.0
5,"Power, Sam",15,7,6,21,,1.0,,3.0,2.0,4.0,1.0,1.0,,1.0,,4.0,17.0,,,3.0,,,91.0
30,"Pratt, Daniel",13,6,1,14,,,1.0,,6.0,2.0,1.0,4.0,,1.0,,6.0,8.0,1.0,,4.0,1.0,,93.0
3,"Rawlings, Brady",8,3,6,14,,,,7.0,1.0,2.0,3.0,1.0,2.0,,,5.0,7.0,,,,,,75.0
15,"Ross, Ben",5,2,1,6,,,,1.0,,3.0,,2.0,,1.0,,1.0,5.0,,,,,,69.0
7,"Simpson, Adam",9,2,11,20,,,,3.0,,7.0,8.0,3.0,2.0,,,12.0,9.0,,,2.0,1.0,2.0,81.0
10,"Smith, Jesse",6,3,9,15,1,,,1.0,2.0,1.0,,2.0,1.0,2.0,,7.0,10.0,,,,9.0,,71.0
12,"Thomas, Lindsay",10,4,3,13,3,1.0,,2.0,,3.0,1.0,3.0,1.0,3.0,,6.0,7.0,,1.0,1.0,2.0,,78.0
23,"Thompson, Nathan",8,4,3,11,5,1.0,,1.0,,,,2.0,2.0,1.0,2.0,6.0,4.0,2.0,2.0,,,,90.0
36,"Watt, Shannon",7,6,8,15,,,,2.0,3.0,3.0,1.0,,,,,4.0,10.0,,,7.0,,,100.0
8,"Wells, Daniel",13,4,3,16,,1.0,,5.0,1.0,7.0,1.0,3.0,1.0,,1.0,4.0,13.0,,1.0,2.0,3.0,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,94,116,316,18,19.0,22.0,55.0,31.0,66.0,35.0,51.0,25.0,23.0,6.0,117.0,196.0,9.0,11.0,52.0,28.0,5.0,
Opposition,Opposition,195,97,168,363,11,13.0,40.0,47.0,43.0,42.0,31.0,62.0,23.0,25.0,,110.0,246.0,9.0,16.0,46.0,28.0,10.0,
