Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 148d,32 (11-1-20 35.94%),17 (0.53),←,
35,"Baxter, Darren",25y 62d,78 (34-2-42 44.87%),8 (0.10),←,
18,"Cameron, Leon",17y 260d,7 (4-0-3 57.14%),4 (0.57),←,
20,"Coleman, Glenn",29y 106d,131 (71-1-59 54.58%),72 (0.55),6 (3-0-3 50.00%),8 (1.33)
22,"Cullen, Mark",21y 239d,21 (8-0-13 38.10%),12 (0.57),←,
12,"Eppelstun, Greg",23y 185d,67 (32-1-34 48.51%),1 (0.01),←,
32,"Foster, Peter",29y 352d,114 (60-2-52 53.51%),50 (0.44),107 (57-2-48 54.21%),48 (0.45)
29,"Grant, Chris",17y 158d,8 (4-0-4 50.00%),24 (3.00),←,
30,"Harrington, Tim",26y 243d,42 (14-1-27 34.52%),2 (0.05),14 (5-0-9 35.71%),
7,"Hawkins, Doug",30y 15d,230 (90-3-137 39.78%),105 (0.46),←,
21,"Kolyniuk, Steven",19y 319d,18 (8-1-9 47.22%),16 (0.89),←,
39,"Liberatore, Tony",24y 98d,26 (15-0-11 57.69%),16 (0.62),←,
11,"McGuinness, Tony",26y 14d,95 (42-2-51 45.26%),93 (0.98),←,
40,"Moloney, Troy",24y 2d,29 (13-1-15 46.55%),4 (0.14),←,
14,"Reynolds, Keenan",21y 133d,7 (4-0-3 57.14%),,←,
33,"Royal, Brian",28y 159d,145 (75-2-68 52.41%),183 (1.26),←,
13,"Svilar, Michael",20y 254d,6 (3-0-3 50.00%),,←,
16,"Wallace, Terry",31y 158d,236 (139-2-95 59.32%),118 (0.50),51 (21-1-29 42.16%),15 (0.29)
6,"Wigney, Stuart",21y 31d,30 (12-1-17 41.67%),8 (0.27),←,
15,"Wynd, Scott",20y 115d,27 (10-0-17 37.04%),6 (0.22),←,
Totals,Totals,24y 6d,1349 (649-20-680 48.11%),739 (0.55),,
C,"Wheeler, Terry",35y 68d,8 (4-0-4 50.00%),,←,
