Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",26y 184d,166 (95-0-71 57.23%),147 (0.89),43 (11-0-32 25.58%),27 (0.63)
30,"Brown, Leigh",20y 190d,63 (19-0-44 30.16%),20 (0.32),←,
9,"Carr, Matthew",23y 246d,71 (18-1-52 26.06%),22 (0.31),43 (11-0-32 25.58%),20 (0.47)
10,"Cook, Troy",26y 20d,109 (43-0-66 39.45%),43 (0.39),66 (19-0-47 28.79%),32 (0.48)
24,"Croad, Trent",22y 176d,105 (53-1-51 50.95%),122 (1.16),21 (9-0-12 42.86%),42 (2.00)
38,"Cunningham, Ben",20y 283d,26 (8-0-18 30.77%),16 (0.62),←,
7,"Farmer, Jeff",25y 69d,138 (60-0-78 43.48%),288 (2.09),20 (8-0-12 40.00%),29 (1.45)
14,"Grover, Antoni",22y 174d,39 (11-0-28 28.21%),4 (0.10),←,
4,"Hasleby, Paul",21y 81d,63 (18-0-45 28.57%),47 (0.75),←,
28,"Koops, Steven",24y 39d,65 (23-0-42 35.38%),45 (0.69),←,
20,"Longmuir, Justin",21y 223d,57 (15-0-42 26.32%),68 (1.19),←,
8,"McManus, Shaun",26y 204d,123 (37-0-86 30.08%),60 (0.49),←,
15,"McPharlin, Luke",20y 274d,23 (12-0-11 52.17%),10 (0.43),11 (4-0-7 36.36%),7 (0.64)
17,"McPhee, Adam",19y 330d,25 (6-0-19 24.00%),9 (0.36),←,
34,"Medhurst, Paul",20y 264d,20 (8-0-12 40.00%),36 (1.80),←,
25,"Norrish, Jason",30y 218d,148 (54-0-94 36.49%),25 (0.17),128 (42-0-86 32.81%),23 (0.18)
23,"Parker, Shane",29y 195d,149 (48-0-101 32.21%),9 (0.06),←,
29,"Pavlich, Matthew",20y 244d,61 (17-0-44 27.87%),52 (0.85),←,
35,"Siegert, Andrew",20y 226d,21 (9-0-12 42.86%),1 (0.05),←,
2,"Simmonds, Troy",24y 50d,60 (28-0-32 46.67%),18 (0.30),20 (8-0-12 40.00%),11 (0.55)
19,"Walker, James",23y 229d,75 (21-0-54 28.00%),8 (0.11),←,
6,"Woods, Dion",20y 219d,18 (5-0-13 27.78%),4 (0.22),←,
Totals,Totals,23y 105d,1625 (608-2-1015 37.42%),1054 (0.65),,
C,"Connolly, Chris",39y 160d,23 (10-0-13 43.48%),,22 (9-0-13 40.91%),
