Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Baird, John",15,7,4,19,,,,3.0,5.0,,2.0,3.0,,,,3.0,15.0,,,4.0,1.0,,100.0
16,"Brown, Leigh",5,2,,5,1,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,3.0,,2.0,,,,86.0
23,"Clayton, Shane",10,3,8,18,1,,,2.0,1.0,3.0,2.0,2.0,1.0,,,5.0,14.0,,,1.0,,,98.0
2,"Colbert, Leigh",6,5,8,14,,,,,3.0,1.0,2.0,1.0,,,,6.0,8.0,1.0,,5.0,,,85.0
6,"Grant, Shannon",9,3,6,15,1,1.0,,2.0,2.0,3.0,4.0,2.0,1.0,,,7.0,8.0,,1.0,,2.0,,97.0
39,"Harding, Leigh",7,1,3,10,3,1.0,,2.0,,2.0,,,2.0,,,6.0,4.0,,,,,1.0,100.0
4,"Harris, Daniel",3,1,8,11,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,8.0,3.0,,,3.0,,1.0,43.0
29,"Harvey, Brent",8,1,5,13,,2.0,,,1.0,5.0,6.0,4.0,,1.0,,9.0,3.0,,,,,1.0,91.0
34,"King, David",13,5,,13,2,2.0,,1.0,,7.0,,2.0,1.0,1.0,,2.0,9.0,,,,,,76.0
35,"Makepeace, Troy",14,4,3,17,,,,,4.0,3.0,1.0,6.0,2.0,1.0,,6.0,12.0,1.0,1.0,4.0,2.0,,100.0
32,"Morrell, Digby",7,6,2,9,5,1.0,,,,,,2.0,1.0,1.0,1.0,6.0,3.0,3.0,5.0,1.0,,,85.0
19,"Motlop, Daniel",,,3,3,,,,,,,,1.0,,1.0,,1.0,2.0,,,,,1.0,18.0
44,"Motlop, Shannon",9,4,6,15,,1.0,,,3.0,6.0,2.0,3.0,,1.0,,6.0,9.0,,,4.0,,2.0,75.0
20,"Petrie, Drew",10,6,2,12,1,,6.0,1.0,1.0,4.0,1.0,4.0,,,,8.0,4.0,2.0,2.0,4.0,,1.0,66.0
17,"Porter, Mark",3,2,5,8,,,12.0,1.0,,,2.0,,1.0,,,6.0,3.0,2.0,,2.0,,,71.0
30,"Robbins, Ben",,,7,7,,,,1.0,,,2.0,1.0,1.0,1.0,,7.0,2.0,,,1.0,,,60.0
26,"Rocca, Saverio",3,2,1,4,2,1.0,,2.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,83.0
7,"Simpson, Adam",14,13,17,31,,1.0,2.0,1.0,1.0,5.0,5.0,4.0,,3.0,,7.0,21.0,2.0,1.0,4.0,2.0,1.0,92.0
9,"Sinclair, Jess",14,4,6,20,,,,,6.0,3.0,1.0,5.0,1.0,1.0,,4.0,13.0,,,3.0,2.0,,100.0
10,"Stevens, Anthony",17,5,7,24,,1.0,,5.0,4.0,5.0,4.0,1.0,2.0,,2.0,11.0,14.0,,,2.0,6.0,,91.0
36,"Watt, Shannon",5,2,3,8,,,,,2.0,1.0,,2.0,2.0,2.0,,5.0,3.0,1.0,,5.0,,,100.0
8,"Wells, Daniel",10,6,3,13,,,1.0,3.0,2.0,3.0,1.0,,1.0,,,3.0,11.0,,,,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,82,107,289,16,13.0,21.0,25.0,37.0,52.0,39.0,46.0,19.0,15.0,3.0,120.0,166.0,13.0,14.0,45.0,15.0,8.0,
Opposition,Opposition,199,102,96,295,16,13.0,48.0,36.0,33.0,57.0,27.0,46.0,15.0,19.0,3.0,109.0,180.0,8.0,18.0,49.0,12.0,11.0,
