Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
38,"Armstrong, Tony",21y 312d,10 (5-0-5 50.00%),,←,
32,"Dangerfield, Patrick",21y 124d,60 (28-0-32 46.67%),70 (1.17),←,
11,"Doughty, Michael",32y 2d,204 (117-0-87 57.35%),44 (0.22),←,
6,"Gunston, Jack",19y 295d,11 (4-0-7 36.36%),13 (1.18),←,
45,"Henderson, Ricky",22y 330d,28 (11-0-17 39.29%),23 (0.82),←,
24,"Jacobs, Sam",23y 119d,32 (12-0-20 37.50%),6 (0.19),15 (5-0-10 33.33%),3 (0.20)
18,"Johncock, Graham",28y 290d,202 (110-0-92 54.46%),98 (0.49),←,
21,"Knights, Chris",24y 316d,90 (48-0-42 53.33%),65 (0.72),←,
20,"Maric, Ivan",25y 215d,76 (43-0-33 56.58%),26 (0.34),←,
22,"Otten, Andy",22y 84d,38 (20-0-18 52.63%),3 (0.08),←,
23,"Petrenko, Jared",21y 228d,32 (10-0-22 31.25%),12 (0.38),←,
3,"Reilly, Brent",27y 268d,152 (81-0-71 53.29%),48 (0.32),←,
43,"Riley, Aidan",19y 237d,2 (2-0-0 100.00%),1 (0.50),←,
25,"Rutten, Ben",28y 71d,166 (94-0-72 56.63%),6 (0.04),←,
9,"Sloane, Rory",21y 143d,29 (13-0-16 44.83%),17 (0.59),←,
33,"Smith, Brodie",19y 205d,13 (5-0-8 38.46%),2 (0.15),←,
12,"Talia, Daniel",19y 309d,5 (3-0-2 60.00%),,←,
5,"Thompson, Scott",28y 146d,194 (106-0-88 54.64%),127 (0.65),155 (88-0-67 56.77%),110 (0.71)
7,"van Berlo, Nathan",25y 62d,134 (75-0-59 55.97%),40 (0.30),←,
17,"Vince, Bernie",25y 309d,84 (45-0-39 53.57%),46 (0.55),←,
13,"Walker, Taylor",21y 104d,41 (19-0-22 46.34%),80 (1.95),←,
47,"Wright, Matthew",21y 236d,15 (5-0-10 33.33%),14 (0.93),←,
Totals,Totals,23y 283d,1618 (856-0-762 52.90%),741 (0.46),,
C,"Bickley, Mark",42y 3d,2 (2-0-0 100.00%),,←,
