Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",25y 356d,78 (46-1-31 59.62%),116 (1.49),←,
21,"Barlow, Michael",25y 201d,59 (35-1-23 60.17%),32 (0.54),←,
30,"Clarke, Zac",23y 101d,43 (17-1-25 40.70%),22 (0.51),←,
15,"Crowley, Ryan",29y 124d,153 (80-1-72 52.61%),103 (0.67),←,
3,"Dawson, Zac",27y 135d,109 (67-4-38 63.30%),6 (0.06),32 (21-1-10 67.19%),2 (0.06)
9,"de Boer, Matt",23y 119d,90 (48-1-41 53.89%),35 (0.39),←,
7,"Fyfe, Nat",21y 292d,62 (36-1-25 58.87%),44 (0.71),←,
32,"Hill, Stephen",23y 67d,99 (51-0-48 51.52%),56 (0.57),←,
5,"Ibbotson, Garrick",25y 114d,112 (52-1-59 46.88%),21 (0.19),←,
37,"Johnson, Michael",28y 260d,163 (85-1-77 52.45%),58 (0.36),←,
23,"Mayne, Chris",24y 247d,95 (51-1-43 54.21%),124 (1.31),←,
18,"McPharlin, Luke",31y 218d,222 (115-1-106 52.03%),114 (0.51),210 (107-1-102 51.19%),111 (0.53)
16,"Mundy, David",27y 352d,176 (90-1-85 51.42%),71 (0.40),←,
13,"Mzungu, Tendai",27y 129d,52 (29-1-22 56.73%),32 (0.62),←,
29,"Pavlich, Matthew",31y 188d,283 (129-0-154 45.58%),562 (1.99),←,
46,"Pearce, Clancee",22y 257d,64 (33-1-30 52.34%),31 (0.48),←,
6,"Pearce, Danyle",27y 91d,168 (69-2-97 41.67%),82 (0.49),14 (10-1-3 75.00%),6 (0.43)
31,"Sandilands, Aaron",30y 213d,184 (94-0-90 51.09%),72 (0.39),←,
11,"Sheridan, Tom",19y 252d,3 (2-0-1 66.67%),1 (0.33),←,
34,"Spurr, Lee",25y 345d,26 (20-1-5 78.85%),,←,
8,"Suban, Nick",23y 59d,76 (36-1-39 48.03%),28 (0.37),←,
10,"Walters, Michael",22y 181d,32 (19-1-12 60.94%),60 (1.88),←,
Totals,Totals,25y 312d,2349 (1204-22-1123 51.26%),1670 (0.71),,
C,"Lyon, Ross",46y 241d,159 (101-5-53 65.09%),,38 (25-1-12 67.11%),
