Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",13,6,13,26,1,1.0,,7.0,1.0,4.0,8.0,3.0,1.0,2.0,,15.0,11.0,1.0,,1.0,,,85.0
16,"Brown, Nathan",5,4,10,15,,,,2.0,1.0,,,1.0,,1.0,,6.0,9.0,1.0,,11.0,,,92.0
25,"Crisp, Jack",14,3,11,25,,,,3.0,3.0,6.0,3.0,4.0,,,,7.0,17.0,,,1.0,,,86.0
35,"de Goey, Jordan",8,,3,11,,1.0,,3.0,1.0,2.0,3.0,3.0,1.0,1.0,,6.0,5.0,,,1.0,1.0,1.0,85.0
2,"Dwyer, Sam",6,4,10,16,,,,2.0,1.0,4.0,,1.0,,,,3.0,13.0,1.0,,,,,80.0
5 ↑,"Elliott, Jamie",5,1,3,8,,1.0,,2.0,,2.0,,1.0,1.0,,,5.0,4.0,,1.0,1.0,,,36.0
1,"Fasolo, Alex",12,7,4,16,3,2.0,,4.0,,2.0,,4.0,3.0,2.0,,7.0,8.0,3.0,4.0,,,1.0,83.0
45,"Frost, Jack",1,1,10,11,,,,2.0,1.0,,1.0,1.0,,1.0,,5.0,6.0,1.0,,5.0,,,79.0
19,"Greenwood, Levi",11,4,10,21,,,1.0,9.0,,4.0,3.0,1.0,2.0,1.0,,10.0,11.0,2.0,1.0,1.0,,1.0,82.0
4,"Grundy, Brodie",3,1,7,10,,,20.0,4.0,,1.0,,2.0,1.0,,,7.0,3.0,1.0,,3.0,,,86.0
8,"Langdon, Tom",5,3,10,15,,,,6.0,,1.0,,1.0,,,,4.0,10.0,,,4.0,,,84.0
37,"Maynard, Brayden",9,4,7,16,,,,5.0,,2.0,,3.0,,,,4.0,12.0,,,1.0,,,84.0
30,"Moore, Darcy",5,4,1,6,,1.0,,3.0,,4.0,,1.0,1.0,1.0,,4.0,4.0,1.0,,1.0,,,85.0
10,"Pendlebury, Scott",11,,13,24,1,,,7.0,1.0,4.0,6.0,3.0,3.0,1.0,,13.0,14.0,,,2.0,,,85.0
12,"Scharenberg, Matt",6,1,10,16,,,,,,2.0,,1.0,1.0,1.0,,5.0,11.0,,,4.0,,,85.0
40 ↓,"Seedsman, Paul",5,1,4,9,,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,7.0,,,1.0,,,55.0
22,"Sidebottom, Steele",10,3,16,26,,1.0,,2.0,5.0,1.0,2.0,2.0,,,,7.0,18.0,1.0,1.0,,1.0,,84.0
36,"Swan, Dane",17,6,19,36,,1.0,,3.0,3.0,8.0,8.0,1.0,,1.0,2.0,13.0,24.0,,,,,,85.0
34,"Toovey, Alan",4,1,6,10,,1.0,,5.0,3.0,,,2.0,,2.0,,3.0,7.0,,,3.0,,,95.0
18,"Varcoe, Travis",8,4,7,15,1,1.0,,7.0,,3.0,,,,,,3.0,11.0,,2.0,,,,95.0
26,"Williams, Marley",11,3,6,17,,,,1.0,3.0,6.0,2.0,1.0,,1.0,,6.0,13.0,,,3.0,5.0,,84.0
15,"Witts, Jarrod",4,2,7,11,1,,15.0,3.0,,1.0,3.0,2.0,2.0,1.0,,5.0,6.0,,1.0,8.0,,1.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,63,187,360,7,12.0,36.0,82.0,24.0,58.0,40.0,39.0,16.0,16.0,2.0,140.0,224.0,12.0,10.0,51.0,7.0,4.0,
Opposition,Opposition,203,96,190,393,13,13.0,38.0,65.0,43.0,44.0,33.0,38.0,16.0,16.0,4.0,156.0,237.0,25.0,17.0,38.0,6.0,9.0,
