Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
16,"Croft, Matthew",23y 125d,43 (22-2-19 53.49%),18 (0.42),←,
11,"Curley, Todd",23y 168d,16 (4-1-11 28.13%),17 (1.06),13 (2-1-10 19.23%),16 (1.23)
14,"Darcy, Luke",20y 354d,15 (3-1-11 23.33%),6 (0.40),←,
28,"Dimattina, Paul",21y 221d,7 (2-0-5 28.57%),,←,
3,"Grant, Chris",23y 200d,135 (67-3-65 50.74%),271 (2.01),←,
37,"Hargraves, Daniel",20y 158d,25 (10-0-15 40.00%),42 (1.68),←,
10,"Hunter, Mark",30y 301d,126 (60-3-63 48.81%),9 (0.07),←,
13,"Jakovich, Allen",28y 101d,51 (25-1-25 50.00%),203 (3.98),4 (0-1-3 12.50%),2 (0.50)
6,"Johnson, Brad",19y 348d,43 (16-2-25 39.53%),23 (0.53),←,
4,"Kellett, Nigel",26y 195d,88 (43-2-43 50.00%),40 (0.45),←,
35,"Kretiuk, Steven",23y 362d,55 (30-1-24 55.45%),9 (0.16),←,
39,"Liberatore, Tony",30y 140d,164 (85-3-76 52.74%),80 (0.49),←,
22,"Quill, Peter",26y 312d,55 (28-2-25 52.73%),17 (0.31),←,
36,"Romero, Jose",24y 334d,117 (59-1-57 50.85%),113 (0.97),28 (10-1-17 37.50%),15 (0.54)
5,"Smith, Rohan",23y 30d,66 (32-2-32 50.00%),33 (0.50),←,
8,"Southern, Daniel",21y 181d,45 (20-1-24 45.56%),8 (0.18),←,
24,"Wallis, Stephen",31y 247d,252 (127-4-121 51.19%),57 (0.23),←,
25,"Watts, Jason",24y 337d,43 (19-1-23 45.35%),33 (0.77),←,
7,"West, Scott",21y 229d,73 (34-1-38 47.26%),36 (0.49),←,
45,"Wira, Brad",24y 106d,13 (2-1-10 19.23%),,12 (2-1-9 20.83%),
15,"Wynd, Scott",26y 157d,138 (66-3-69 48.91%),24 (0.17),←,
Totals,Totals,24y 254d,1570 (754-35-781 48.03%),1039 (0.66),,
C,"Wallace, Terry",37y 200d,1 (0-0-1 0.00%),,←,
