Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",17,3,11,28,,,,4.0,,,,,,,,,,,,,,,
32,"Baldwin, Jason",14,4,10,24,2,2.0,,3.0,,,,,,1.0,,,,,,,,,
37,"Bizzotto, Frank",1,,1,2,,,,1.0,,,,,,,,,,,,,,,
34,"Boyd, Brad",9,4,3,12,,,,2.0,,,,,1.0,,,,,,,,,,
31,"Dent, Matthew",4,3,6,10,,,,,,,,,,1.0,,,,,,,,,
18,"Dunstan, Michael",8,3,4,12,,,,,,,,,1.0,,,,,,,,,,
6,"Guard, Jeremy",9,5,7,16,,,,5.0,,,,,2.0,1.0,,,,,,,,,
17,"Hawking, Simon",14,5,4,18,,,,,,,,,2.0,,,,,,,,,,
10,"Hogg, Jeff",6,4,3,9,2,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,
2,"Johnson, Chris",6,1,7,13,1,,,1.0,,,,,,2.0,,,,,,,,,
26,"Johnston, David",3,2,6,9,,,,1.0,,,,,,,,,,,,,,,
13,"Kavanagh, Tom",6,3,3,9,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
30,"Manson, James",6,7,5,11,2,,5.0,,,,,,,2.0,,,,,,,,,
25,"McCarthy, John",11,10,14,25,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
36,"Mitchell, Nick",12,3,3,15,,4.0,,1.0,,,,,3.0,,,,,,,,,,
7,"Molloy, Jarrod",5,4,2,7,1,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
4,"Paxman, Stephen",7,7,7,14,,1.0,3.0,,,,,,1.0,3.0,,,,,,,,,
1,"Roos, Paul",15,3,12,27,,1.0,,3.0,,,,,4.0,1.0,,,,,,,,,
3,"Seecamp, Marcus",5,2,6,11,1,,,1.0,,,,,,1.0,,,,,,,,,
22,"Stretch, Steven",13,5,10,23,1,1.0,,,,,,,2.0,1.0,,,,,,,,,
8,"Wynd, Jim",15,3,6,21,,,,1.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,81,130,316,12,17.0,8.0,28.0,,,,,22.0,18.0,,,,,,,,,
Opposition,Opposition,197,90,137,334,24,9.0,28.0,23.0,,,,,18.0,22.0,6.0,,,,,,,,
