Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35 ↓,"Borlase, James",2,1,1,3,,,,,1.0,1.0,,2.0,,1.0,,,3.0,,,2.0,,,52.0
5,"Crouch, Matt",8,3,25,33,,,,5.0,,2.0,9.0,4.0,3.0,1.0,,17.0,17.0,,,1.0,,1.0,73.0
12,"Dawson, Jordan",17,1,7,24,,,,6.0,1.0,7.0,5.0,1.0,2.0,1.0,,9.0,20.0,,,2.0,1.0,1.0,82.0
32,"Fogarty, Darcy",5,5,5,10,,1.0,,2.0,,1.0,2.0,3.0,,2.0,,4.0,6.0,1.0,1.0,,,,91.0
20,"Hinge, Mitch",15,6,7,22,,1.0,,5.0,8.0,4.0,1.0,5.0,1.0,2.0,,8.0,13.0,,,2.0,,,83.0
48,"Keane, Mark",7,3,5,12,,,,3.0,3.0,,,3.0,,2.0,,6.0,4.0,1.0,,6.0,,,90.0
2,"Keays, Ben",10,2,9,19,2,1.0,,,1.0,3.0,1.0,3.0,1.0,1.0,,9.0,8.0,,,1.0,,1.0,82.0
29,"Laird, Rory",14,4,20,34,,2.0,,8.0,1.0,5.0,2.0,3.0,1.0,1.0,,11.0,23.0,,1.0,,,,78.0
23,"McAdam, Shane",7,5,3,10,4,1.0,,2.0,,,,1.0,1.0,1.0,,2.0,9.0,,4.0,1.0,,,73.0
16,"Michalanney, Max",10,7,1,11,,,,5.0,2.0,3.0,,4.0,1.0,2.0,,2.0,11.0,1.0,1.0,3.0,,,90.0
30,"Milera, Wayne",21,8,7,28,,,,3.0,3.0,5.0,,3.0,1.0,,,1.0,25.0,,,,,,85.0
4,"Murphy, Lachlan",5,3,7,12,,,,7.0,1.0,3.0,2.0,1.0,,1.0,,5.0,6.0,,,,,,84.0
27,"Nankervis, Luke",8,5,6,14,,,,3.0,,2.0,2.0,,,,,3.0,10.0,,,2.0,1.0,2.0,76.0
43,"OBrien, Reilly",2,,7,9,,,44.0,4.0,,,2.0,2.0,1.0,,,7.0,2.0,,,5.0,,,84.0
10,"Pedlar, Luke",8,4,2,10,2,,,3.0,,1.0,3.0,1.0,1.0,,,4.0,6.0,,2.0,,,1.0,80.0
8 ↑,"Rachele, Josh",5,1,2,7,1,1.0,,6.0,,,1.0,1.0,1.0,,,3.0,3.0,,,1.0,,1.0,34.0
26,"Schoenberg, Harry",11,6,10,21,1,,,2.0,4.0,5.0,4.0,2.0,,1.0,,6.0,15.0,,,1.0,,,72.0
9,"Sloane, Rory",8,1,5,13,,1.0,,6.0,1.0,3.0,5.0,2.0,1.0,,,6.0,5.0,,,,,,74.0
33,"Smith, Brodie",9,7,7,16,,,,,,2.0,,1.0,1.0,,,5.0,10.0,,,,,,84.0
14,"Soligo, Jake",9,3,11,20,,1.0,,,1.0,3.0,2.0,3.0,1.0,,,8.0,12.0,,1.0,1.0,1.0,,84.0
7,"Thilthorpe, Riley",5,4,2,7,1,,5.0,,1.0,,1.0,3.0,,1.0,,3.0,4.0,1.0,2.0,1.0,,1.0,70.0
13,"Walker, Taylor",15,6,4,19,2,3.0,7.0,1.0,,4.0,2.0,4.0,1.0,,,8.0,10.0,1.0,1.0,2.0,,1.0,92.0
24,"Worrell, Josh",11,5,2,13,,,,3.0,5.0,2.0,,2.0,1.0,1.0,,6.0,6.0,1.0,,5.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,90,155,367,13,15.0,56.0,74.0,33.0,56.0,44.0,54.0,19.0,18.0,,133.0,228.0,6.0,13.0,36.0,3.0,9.0,
Opposition,Opposition,212,88,108,320,15,9.0,39.0,52.0,43.0,49.0,38.0,56.0,18.0,19.0,6.0,130.0,178.0,12.0,10.0,53.0,2.0,11.0,
