Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Callinan, Ian",3,3,4,7,,,,,,,,,,,,3.0,4.0,,,,,1.0,88.0
32,"Dangerfield, Patrick",18,7,10,28,2,,,4.0,1.0,7.0,9.0,4.0,1.0,2.0,1.0,15.0,14.0,1.0,,1.0,,1.0,81.0
11,"Doughty, Michael",7,2,5,12,,,,2.0,1.0,3.0,,3.0,1.0,,,5.0,9.0,,,5.0,,,86.0
26,"Douglas, Richard",14,3,11,25,1,,,3.0,1.0,6.0,6.0,,,,,11.0,13.0,,,1.0,,2.0,81.0
24,"Jacobs, Sam",9,5,8,17,1,,16.0,1.0,,3.0,2.0,1.0,1.0,,,9.0,8.0,1.0,1.0,1.0,,,89.0
20,"Jenkins, Josh",12,7,8,20,2,,6.0,2.0,,3.0,,1.0,,,,10.0,10.0,1.0,2.0,4.0,1.0,,87.0
18,"Johncock, Graham",6,3,4,10,2,2.0,,3.0,,2.0,1.0,1.0,,,,3.0,7.0,,2.0,,,,84.0
14,"Mackay, David",7,3,4,11,,,,6.0,2.0,2.0,,2.0,1.0,2.0,,5.0,6.0,,,,,,81.0
22,"Otten, Andy",10,6,9,19,,,,1.0,2.0,,1.0,,1.0,,,4.0,15.0,,,5.0,1.0,,88.0
23,"Petrenko, Jared",5,2,3,8,,,,1.0,,2.0,1.0,,1.0,,,3.0,6.0,,,1.0,2.0,,81.0
40,"Porplyzia, Jason",16,4,9,25,3,1.0,,1.0,,4.0,3.0,5.0,1.0,1.0,2.0,10.0,15.0,,3.0,,,1.0,88.0
3,"Reilly, Brent",18,7,5,23,,1.0,,5.0,5.0,3.0,1.0,1.0,1.0,,,6.0,17.0,,,3.0,5.0,1.0,84.0
25,"Rutten, Ben",8,7,7,15,,,,3.0,,1.0,,,,,,3.0,11.0,1.0,,1.0,,,96.0
9,"Sloane, Rory",16,6,8,24,2,,,4.0,1.0,2.0,2.0,1.0,2.0,1.0,,9.0,15.0,1.0,,3.0,,1.0,82.0
33,"Smith, Brodie",13,5,8,21,,,,,6.0,,,2.0,,1.0,,6.0,13.0,,,1.0,,,79.0
15 ↑,"Symes, Brad",1,2,5,6,,,,,,,1.0,,,,,1.0,5.0,,1.0,,,2.0,33.0
12,"Talia, Daniel",4,4,5,9,,,,2.0,1.0,1.0,,1.0,,1.0,,2.0,7.0,,,6.0,,,95.0
5,"Thompson, Scott",15,6,13,28,,,,6.0,2.0,4.0,4.0,7.0,1.0,5.0,,13.0,17.0,1.0,1.0,3.0,,,87.0
4 ↓,"Tippett, Kurt",3,1,1,4,,,2.0,1.0,,,,4.0,1.0,,,3.0,1.0,1.0,1.0,,,,41.0
7,"van Berlo, Nathan",17,5,8,25,1,2.0,,2.0,2.0,4.0,1.0,6.0,3.0,2.0,,8.0,17.0,,,,,2.0,89.0
17,"Vince, Bernie",16,3,9,25,4,,,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,12.0,13.0,,1.0,,1.0,,89.0
47,"Wright, Matthew",17,7,8,25,1,2.0,,4.0,4.0,3.0,6.0,2.0,1.0,1.0,,12.0,14.0,,3.0,2.0,5.0,2.0,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,235,98,152,387,19,10.0,24.0,52.0,30.0,54.0,39.0,44.0,17.0,17.0,6.0,153.0,237.0,7.0,15.0,37.0,15.0,13.0,
Opposition,Opposition,194,94,143,337,11,9.0,49.0,54.0,28.0,42.0,33.0,42.0,17.0,17.0,,127.0,213.0,11.0,10.0,45.0,11.0,9.0,
