Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",10,4,12,22,,,,1.0,,,,,1.0,1.0,,,,,,,,,
25,"Bews, Andrew",6,2,11,17,,,,1.0,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",12,4,1,13,,,,,,,,,3.0,,,,,,,,,,
5,"Chapman, Nathan",7,3,6,13,,,,,,,,,1.0,2.0,,,,,,,,,
12,"Clarke, Troy",11,2,10,21,5,,,,,,,,1.0,,,,,,,,,,
20,"Craven, Danny",5,,13,18,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
6,"Fletcher, Adrian",14,3,14,28,,,,2.0,,,,,1.0,4.0,,,,,,,,,
29,"Francis, Fabian",5,1,4,9,1,,,1.0,,,,,,,,,,,,,,,
41,"Kennedy, Matthew",8,3,1,9,,,,,,,,,3.0,1.0,,,,,,,,,
18,"Lambert, Craig",6,1,16,22,,,,4.0,,,,,,3.0,,,,,,,,,
44,"Lappin, Nigel",7,2,5,12,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Lehmann, Troy",9,3,6,15,,1.0,,1.0,,,,,,,,,,,,,,,
17,"Leslie, Martin",4,6,10,14,1,,,,,,,,1.0,2.0,,,,,,,,,
31,"McCormack, Brendan",6,1,4,10,,,,1.0,,,,,1.0,2.0,,,,,,,,,
7,"McIvor, Scott",12,7,10,22,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,
19,"McLean, Michael",12,6,15,27,,,,1.0,,,,,1.0,3.0,,,,,,,,,
24,"Merrett, Roger",1,,,1,,,,,,,,,1.0,2.0,,,,,,,,,
8,"Peos, Paul",2,1,,2,1,,,,,,,,,,,,,,,,,,
22,"Scott, Chris",10,2,3,13,1,,,1.0,,,,,,2.0,,,,,,,,,
9,"Starcevich, Craig",4,3,2,6,1,,1.0,1.0,,,,,1.0,,,,,,,,,,
33,"White, Darryl",11,5,4,15,1,1.0,11.0,,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,162,59,147,309,12,6.0,13.0,17.0,,,,,20.0,28.0,,,,,,,,,
Opposition,Opposition,202,71,106,308,17,9.0,16.0,40.0,,,,,28.0,20.0,6.0,,,,,,,,
