Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
21,"Aleer, Leek",23y 325d,19 (11-0-8 57.89%),,←,
9,"Angwin, Ryan",22y 212d,23 (14-0-9 60.87%),2 (0.09),←,
7,"Ash, Lachie",24y 21d,118 (62-1-55 52.97%),7 (0.06),←,
14,"Bedford, Toby",25y 46d,76 (50-0-26 65.79%),39 (0.51),58 (38-0-20 65.52%),30 (0.52)
32,"Briggs, Kieren",25y 279d,63 (38-0-25 60.32%),12 (0.19),←,
46,"Brown, Callum",24y 331d,57 (33-0-24 57.89%),59 (1.04),←,
44,"Buckley, Jack",27y 207d,83 (47-1-35 57.23%),1 (0.01),←,
5,"Cadman, Aaron",21y 131d,52 (33-0-19 63.46%),68 (1.31),←,
17,"Callaghan, Finn",22y 77d,64 (36-0-28 56.25%),10 (0.16),←,
37,"Fonti, Joe",20y 200d,15 (12-0-3 80.00%),,←,
12,"Green, Tom",24y 170d,108 (55-1-52 51.39%),45 (0.42),←,
4,"Greene, Toby",31y 290d,255 (125-2-128 49.41%),404 (1.58),←,
27,"Himmelberg, Harry",29y 65d,194 (108-2-84 56.19%),162 (0.84),←,
23,"Hogan, Jesse",30y 150d,178 (87-0-91 48.88%),392 (2.20),88 (46-0-42 52.27%),222 (2.52)
39,"Idun, Connor",24y 348d,110 (59-1-50 54.09%),,←,
2,"Jones, Darcy",21y 100d,30 (18-0-12 60.00%),26 (0.87),←,
22,"Kelly, Josh",30y 150d,228 (122-3-103 54.17%),142 (0.62),←,
33,"OHalloran, Xavier",25y 1d,83 (44-1-38 53.61%),31 (0.37),←,
26,"Riccardi, Jake",25y 247d,82 (45-0-37 54.88%),104 (1.27),←,
24,"Rowston, Harry",20y 334d,12 (8-0-4 66.67%),1 (0.08),←,
20,"Stringer, Jake",31y 78d,222 (110-1-111 49.77%),382 (1.72),10 (6-0-4 60.00%),15 (1.50)
1,"Thomas, Harvey",19y 338d,35 (22-0-13 62.86%),15 (0.43),←,
6,"Whitfield, Lachie",30y 359d,250 (127-4-119 51.60%),71 (0.28),←,
Totals,Totals,25y 146d,2357 (1266-17-1074 53.71%),1973 (0.84),,
C,"Kingsley, Adam",49y 326d,68 (41-0-27 60.29%),,←,
