Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Baldwin, Jason",22,6.0,6.0,28,,,,2.0,,,,,4.0,1.0,,,,,,,,,
18,"Blakey, John",9,1.0,8.0,17,,,,1.0,,,,,1.0,2.0,,,,,,,,,
17,"Broderick, Paul",9,4.0,19.0,28,,1.0,,,,,,,3.0,1.0,,,,,,,,,
16,"Cormack, Joe",1,,1.0,2,,,,,,,,,,1.0,,,,,,,,,
15,"Donato, David",5,1.0,7.0,12,,1.0,,4.0,,,,,1.0,2.0,,,,,,,,,
2,"Dundas, Matthew",16,6.0,11.0,27,2.0,,,1.0,,,,,3.0,2.0,,,,,,,,,
54,"Elliott, Jamie",6,2.0,3.0,9,,,,2.0,,,,,2.0,1.0,,,,,,,,,
6,"Ironmonger, John",2,1.0,3.0,5,,,7.0,1.0,,,,,1.0,,,,,,,,,,
21,"Kappler, Darren",19,5.0,2.0,21,2.0,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
11,"Lynch, Alastair",12,3.0,3.0,15,,,,2.0,,,,,5.0,3.0,,,,,,,,,
29,"Lyon, Ross",5,2.0,9.0,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"McCormack, Brendan",6,,3.0,9,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
26,"McGrath, Justin",3,1.0,,3,,,,,,,,,,1.0,,,,,,,,,
25,"OConnell, David",5,3.0,4.0,9,,,3.0,2.0,,,,,,1.0,,,,,,,,,
44,"Osborne, Richard",12,,2.0,14,,1.0,,,,,,,,3.0,,,,,,,,,
28,"Paxman, Stephen",8,3.0,4.0,12,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
1,"Roos, Paul",17,8.0,8.0,25,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,
33,"Stephens, Brett",9,7.0,8.0,17,,,,,,,,,2.0,,,,,,,,,,
12,"Wheildon, Darren",10,2.0,3.0,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
8,"Wynd, Jim",26,6.0,5.0,31,1.0,,,2.0,,,,,4.0,,,,,,,,,,
Totals,Totals,202,61.0,109.0,311,6.0,5.0,12.0,22.0,,,,,34.0,25.0,1.0,,,,,,,,
Opposition,Opposition,222,62.0,106.0,328,8.0,12.0,26.0,30.0,,,,,25.0,34.0,5.0,,,,,,,,
