0,1,2,3,4,5,6
←,"Round: 18 Venue: S.C.G. Date: Sun, 4-Aug-1996 1:10 PM Attendance: 18850","Round: 18 Venue: S.C.G. Date: Sun, 4-Aug-1996 1:10 PM Attendance: 18850","Round: 18 Venue: S.C.G. Date: Sun, 4-Aug-1996 1:10 PM Attendance: 18850","Round: 18 Venue: S.C.G. Date: Sun, 4-Aug-1996 1:10 PM Attendance: 18850","Round: 18 Venue: S.C.G. Date: Sun, 4-Aug-1996 1:10 PM Attendance: 18850",→
←,Sydney,4.1.25,6.6.42,11.9.75,17.13.115,→
←,Melbourne,0.4.4,4.8.32,5.14.44,6.16.52,→
←,Qrt margin,SY by 21,SY by 10,SY by 31,SY by 63,→
←,Qrt scores,SY 25-4,ME 28-17,SY 33-12,SY 40-8,→
←,Field umpires,"Gavin Dore (149), Geoff Caulfield (61), Craig Durham (15)","Gavin Dore (149), Geoff Caulfield (61), Craig Durham (15)","Gavin Dore (149), Geoff Caulfield (61), Craig Durham (15)","Gavin Dore (149), Geoff Caulfield (61), Craig Durham (15)",→
