St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
8,"Acres, Blake",19y 250d,8 (2-0-6 25.00%),1 (0.13),←,
20,"Armitage, David",26y 363d,118 (49-1-68 41.95%),74 (0.63),←,
27,"Bruce, Josh",23y 6d,35 (7-0-28 20.00%),36 (1.03),21 (6-0-15 28.57%),33 (1.57)
21,"Delaney, Luke",25y 355d,58 (22-0-36 37.93%),1 (0.02),32 (8-0-24 25.00%),
24,"Dempster, Sean",31y 145d,193 (96-3-94 50.52%),20 (0.10),139 (61-3-75 44.96%),12 (0.09)
7,"Dunstan, Luke",20y 136d,26 (8-0-18 30.77%),16 (0.62),←,
14,"Geary, Jarryn",26y 356d,109 (61-0-48 55.96%),20 (0.18),←,
19,"Gilbert, Sam",28y 299d,147 (87-4-56 60.54%),29 (0.20),←,
18,"Longer, Billy",22y 33d,36 (7-0-29 19.44%),2 (0.06),27 (5-0-22 18.52%),2 (0.07)
37,"Lonie, Jack",18y 305d,10 (4-0-6 40.00%),9 (0.90),←,
28,"Membrey, Tim",21y 19d,8 (3-0-5 37.50%),5 (0.63),7 (2-0-5 28.57%),5 (0.71)
41,"Minchington, Darren",21y 187d,6 (1-0-5 16.67%),7 (1.17),←,
11,"Montagna, Leigh",31y 224d,238 (129-4-105 55.04%),140 (0.59),←,
16,"Newnes, Jack",22y 110d,58 (17-0-41 29.31%),6 (0.10),←,
22,"Ray, Farren",29y 83d,199 (102-4-93 52.26%),58 (0.29),124 (67-3-54 55.24%),26 (0.21)
12,"Riewoldt, Nick",32y 240d,288 (144-5-139 50.87%),632 (2.19),←,
6,"Ross, Sebastian",22y 38d,29 (7-0-22 24.14%),5 (0.17),←,
5,"Savage, Shane",24y 160d,80 (47-0-33 58.75%),46 (0.57),24 (6-0-18 25.00%),9 (0.38)
39,"Shenton, Cameron",24y 260d,23 (5-0-18 21.74%),8 (0.35),←,
3,"Steven, Jack",25y 78d,101 (38-1-62 38.12%),71 (0.70),←,
29,"Webster, Jimmy",21y 351d,29 (7-0-22 24.14%),1 (0.03),←,
44,"Weller, Maverick",23y 121d,57 (11-0-46 19.30%),10 (0.18),25 (5-0-20 20.00%),7 (0.28)
Totals,Totals,24y 270d,1856 (854-22-980 46.01%),1197 (0.64),,
C,"Richardson, Alan",50y 28d,34 (8-0-26 23.53%),,33 (8-0-25 24.24%),
