Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 310d,59 (12-1-46 21.19%),35 (0.59),←,
22,"Bain, David",26y 90d,73 (14-1-58 19.86%),40 (0.55),←,
1,"Champion, Richard",24y 108d,35 (5-1-29 15.71%),14 (0.40),←,
12,"Clarke, Troy",23y 53d,28 (4-1-23 16.07%),12 (0.43),←,
4,"Gastev, John",27y 355d,107 (34-1-72 32.24%),66 (0.62),77 (17-1-59 22.73%),35 (0.45)
34,"Green, Ashley",19y 116d,16 (3-1-12 21.88%),1 (0.06),←,
14,"Hamilton, Shane",21y 348d,54 (15-0-39 27.78%),63 (1.17),27 (3-0-24 11.11%),23 (0.85)
11,"Hutton, John",26y 66d,16 (3-1-12 21.88%),34 (2.13),←,
8,"Jeffrey, Russell",26y 176d,50 (18-0-32 36.00%),4 (0.08),8 (2-0-6 25.00%),1 (0.13)
41,"Kennedy, Matthew",22y 178d,34 (5-0-29 14.71%),8 (0.24),←,
17,"Leslie, Martin",29y 257d,69 (14-1-54 21.01%),6 (0.09),←,
24,"Merrett, Roger",32y 103d,239 (118-3-118 50.00%),257 (1.08),90 (21-1-68 23.89%),109 (1.21)
26,"Noonan, Danny",23y 245d,35 (5-1-29 15.71%),16 (0.46),←,
5,"Owen, Rod",25y 182d,76 (23-0-53 30.26%),139 (1.83),7 (2-0-5 28.57%),17 (2.43)
13,"Potter, Craig",26y 194d,51 (24-0-27 47.06%),19 (0.37),9 (2-0-7 22.22%),3 (0.33)
27,"Rendell, Matthew",33y 104d,173 (89-1-83 51.73%),106 (0.61),9 (2-0-7 22.22%),5 (0.56)
6,"Retzlaff, Brendon",23y 100d,13 (3-1-9 26.92%),2 (0.15),←,
56,"Voss, Michael",17y 24d,2 (1-0-1 50.00%),,←,
33,"White, Darryl",19y 49d,17 (3-1-13 20.59%),14 (0.82),←,
21,"Zanotti, Mark",27y 266d,97 (28-0-69 28.87%),11 (0.11),61 (11-0-50 18.03%),5 (0.08)
Totals,Totals,24y 312d,1244 (421-15-808 33.84%),847 (0.68),,
C,"Walls, Robert",42y 10d,239 (121-2-116 51.05%),,40 (6-1-33 16.25%),
