Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
18,"Bartlett, Trent",23y 191d,50 (24-2-24 50.00%),16 (0.32),11 (6-0-5 54.55%),8 (0.73)
17,"Brown, Nathan",22y 115d,61 (37-1-23 61.48%),45 (0.74),←,
19,"Contessa, Adam",23y 158d,28 (18-1-9 66.07%),6 (0.21),←,
16,"Croft, Matthew",27y 99d,119 (70-3-46 60.08%),47 (0.39),←,
11,"Curley, Todd",27y 142d,92 (49-2-41 54.35%),38 (0.41),89 (47-2-40 53.93%),37 (0.42)
14,"Darcy, Luke",24y 328d,108 (59-2-47 55.56%),77 (0.71),←,
28,"Dimattina, Paul",25y 195d,76 (46-1-29 61.18%),32 (0.42),←,
10,"Eagleton, Nathan",21y 207d,69 (33-2-34 49.28%),62 (0.90),13 (7-0-6 53.85%),17 (1.31)
32,"Ellis, Craig",25y,85 (46-1-38 54.71%),4 (0.05),←,
4,"Garlick, Simon",25y 55d,104 (61-1-42 59.13%),70 (0.67),60 (37-1-22 62.50%),43 (0.72)
3,"Grant, Chris",27y 174d,225 (122-4-99 55.11%),427 (1.90),←,
37,"Hahn, Mitch",19y 25d,4 (3-0-1 75.00%),,←,
9,"Hudson, Paul",29y 320d,210 (127-1-82 60.71%),428 (2.04),76 (47-1-28 62.50%),164 (2.16)
25,"Hunter, Kingsley",25y 8d,55 (22-0-33 40.00%),89 (1.62),14 (8-0-6 57.14%),3 (0.21)
6,"Johnson, Brad",23y 322d,136 (72-3-61 54.04%),119 (0.88),←,
39,"Liberatore, Tony",34y 114d,240 (130-3-107 54.79%),93 (0.39),←,
27,"Penny, Luke",19y 117d,1 (0-0-1 0.00%),,←,
36,"Romero, Jose",28y 308d,193 (101-1-91 52.59%),162 (0.84),104 (52-1-51 50.48%),64 (0.62)
5,"Smith, Rohan",27y 4d,160 (88-3-69 55.94%),155 (0.97),←,
7,"West, Scott",25y 203d,160 (85-2-73 53.75%),62 (0.39),←,
1,"Wills, Andrew",28y 153d,146 (76-0-70 52.05%),127 (0.87),8 (5-0-3 62.50%),6 (0.75)
15,"Wynd, Scott",30y 131d,227 (119-4-104 53.30%),30 (0.13),←,
Totals,Totals,25y 253d,2549 (1388-37-1124 54.45%),2089 (0.82),,
C,"Wallace, Terry",41y 174d,95 (56-1-38 59.47%),,←,
