Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",27y 144d,92 (54-2-36 59.78%),106 (1.15),←,
20,"Berbakov, Peter",25y 222d,46 (27-1-18 59.78%),12 (0.26),←,
8,"Bewick, Darren",31y 223d,197 (118-1-78 60.15%),302 (1.53),←,
32,"Blumfield, Justin",21y 128d,48 (25-0-23 52.08%),23 (0.48),←,
33,"Caracella, Blake",22y 17d,35 (17-0-18 48.57%),39 (1.11),←,
31,"Fletcher, Dustin",23y 329d,111 (67-3-41 61.71%),35 (0.32),←,
30,"Fraser, Mark",28y 56d,89 (50-2-37 57.30%),44 (0.49),44 (24-2-18 56.82%),21 (0.48)
37,"Grgic, Ilija",27y 27d,86 (45-1-40 52.91%),107 (1.24),1 (1-0-0 100.00%),
11,"Hardwick, Damien",26y 226d,90 (50-1-39 56.11%),12 (0.13),←,
26,"Heffernan, Chris",20y 62d,17 (8-0-9 47.06%),4 (0.24),←,
5,"Hird, James",26y 56d,110 (64-4-42 60.00%),187 (1.70),←,
28,"Johnson, Mark",20y 313d,2 (2-0-0 100.00%),,←,
17,"Lalich, Judd",23y 96d,4 (2-0-2 50.00%),,←,
18,"Lloyd, Matthew",20y 350d,61 (30-1-30 50.00%),164 (2.69),←,
13,"Long, Michael",29y 182d,142 (91-2-49 64.79%),115 (0.81),←,
25,"Lucas, Scott",21y 92d,61 (32-0-29 52.46%),88 (1.44),←,
2,"Mercuri, Mark",25y 39d,112 (68-3-41 62.05%),155 (1.38),←,
24,"Misiti, Joe",24y 143d,124 (70-4-50 58.06%),47 (0.38),←,
12,"Symons, Michael",27y 197d,97 (57-3-37 60.31%),78 (0.80),←,
21,"Wallis, Dean",29y 217d,89 (51-1-37 57.87%),29 (0.33),←,
6,"Wellman, Sean",24y 193d,89 (40-2-47 46.07%),13 (0.15),55 (27-1-27 50.00%),4 (0.07)
35,"Young, Barry",28y 279d,111 (51-2-58 46.85%),59 (0.53),58 (32-2-24 56.90%),36 (0.62)
Totals,Totals,25y 97d,1813 (1019-33-761 56.21%),1619 (0.89),,
C,"Sheedy, Kevin",51y 98d,425 (265-5-155 62.94%),,←,
