Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Leon",4,1,3,7,,,,1.0,,,,,1.0,1.0,,,,,,,,,
21,"Campbell, Tony",6,2,1,7,,,,,,,,,1.0,1.0,,,,,,,,,
11,"Curley, Todd",6,2,1,7,3,,,2.0,,,,,1.0,,,,,,,,,,
14,"Darcy, Luke",18,13,4,22,2,1.0,1.0,2.0,,,,,,3.0,1.0,,,,,,,,
28,"Dimattina, Paul",4,2,4,8,,,,,,,,,1.0,,,,,,,,,,
32,"Ellis, Craig",9,3,1,10,,,1.0,1.0,,,,,2.0,,,,,,,,,,
3,"Grant, Chris",20,6,4,24,,,1.0,2.0,,,,,4.0,,3.0,,,,,,,,
29,"Griffin, Daryl",8,3,1,9,,,,1.0,,,,,,,,,,,,,,,
37,"Hargraves, Daniel",14,10,2,16,5,3.0,1.0,,,,,,,1.0,,,,,,,,,
10,"Hunter, Mark",19,6,3,22,,,1.0,2.0,,,,,,2.0,,,,,,,,,
6,"Johnson, Brad",11,4,3,14,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",7,2,12,19,1,,,3.0,,,,,3.0,,,,,,,,,,
39,"Liberatore, Tony",10,,9,19,,,,4.0,,,,,1.0,3.0,2.0,,,,,,,,
23,"Martin, Michael",4,1,2,6,1,,,2.0,,,,,,,,,,,,,,,
22,"Quill, Peter",8,1,7,15,,,,,,,,,2.0,,,,,,,,,,
36,"Romero, Jose",23,6,5,28,1,,,1.0,,,,,2.0,,,,,,,,,,
5,"Smith, Rohan",12,3,2,14,1,1.0,,,,,,,2.0,1.0,,,,,,,,,
24,"Wallis, Stephen",5,3,5,10,,,,,,,,,3.0,2.0,,,,,,,,,
25,"Watts, Jason",6,2,1,7,3,2.0,,2.0,,,,,2.0,,,,,,,,,,
45,"Wira, Brad",13,2,7,20,,,,4.0,,,,,4.0,,,,,,,,,,
15,"Wynd, Scott",2,7,16,18,,,9.0,2.0,,,,,2.0,6.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,79,93,302,18,9.0,14.0,31.0,,,,,32.0,20.0,6.0,,,,,,,,
Opposition,Opposition,163,62,91,254,15,9.0,20.0,30.0,,,,,20.0,32.0,,,,,,,,,
