Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",14,1.0,13,27,1.0,1.0,,6.0,,6.0,5.0,5.0,2.0,1.0,3.0,11,18,,,1.0,1.0,1.0,90.0
37,"Bennell, Harley",5,4.0,7,12,,2.0,,2.0,,2.0,1.0,,,,,4,7,,,1.0,,,85.0
44,"Bock, Nathan",18,7.0,3,21,,,,3.0,9.0,1.0,,3.0,,1.0,,5,15,,,11.0,7.0,1.0,100.0
3,"Brennan, Jared",12,8.0,1,13,3.0,,,5.0,2.0,,2.0,3.0,2.0,1.0,,6,8,,2.0,2.0,,,90.0
30,"Brown, Campbell",15,5.0,1,16,,,,3.0,6.0,1.0,1.0,1.0,3.0,1.0,,8,7,1.0,,10.0,,,98.0
23 ↓,"Dixon, Charlie",2,,6,8,,,,1.0,,,,2.0,1.0,2.0,,5,3,,,,,,65.0
17,"Fraser, Josh",8,3.0,6,14,,1.0,19.0,,1.0,2.0,3.0,1.0,2.0,1.0,,8,6,1.0,1.0,,,1.0,81.0
5,"Harbrow, Jarrod",10,3.0,7,17,,,,3.0,1.0,,,1.0,1.0,,,5,10,,,1.0,2.0,,90.0
36,"Iles, Sam",15,7.0,8,23,1.0,2.0,,4.0,2.0,6.0,3.0,3.0,1.0,1.0,,7,16,1.0,1.0,,,1.0,71.0
13,"Jolly, Hayden",3,5.0,9,12,,1.0,,,,,,1.0,,,,2,10,,,,,,74.0
33,"Liddy, Rex",3,1.0,3,6,,,,1.0,,1.0,,2.0,2.0,1.0,,3,4,,,1.0,,,68.0
46,"Lynch, Tom",7,2.0,7,14,,1.0,,5.0,,2.0,1.0,7.0,1.0,5.0,,10,5,2.0,,1.0,,,96.0
18,"McKenzie, Trent",16,8.0,5,21,,1.0,,1.0,4.0,6.0,3.0,6.0,,2.0,,4,17,1.0,,1.0,,1.0,75.0
41,"Prestia, Dion",11,5.0,7,18,,1.0,,7.0,3.0,3.0,2.0,1.0,1.0,,,6,11,1.0,,1.0,1.0,,81.0
35,"Rischitelli, Michael",12,7.0,12,24,1.0,1.0,1.0,9.0,2.0,5.0,2.0,4.0,1.0,1.0,,7,17,,,4.0,,,83.0
26 ↑,"Shaw, Matt",5,3.0,3,8,,1.0,,,,1.0,,1.0,,1.0,,2,5,1.0,,,,1.0,30.0
2,"Smith, Zac",6,7.0,9,15,,,13.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,,7,8,2.0,,4.0,,1.0,76.0
25,"Stanley, Danny",9,5.0,12,21,3.0,1.0,,2.0,,2.0,,3.0,,,,8,13,,,,,2.0,98.0
24,"Swallow, David",11,1.0,13,24,2.0,,,,,6.0,3.0,3.0,,1.0,2.0,11,13,,,1.0,,,74.0
16,"Thompson, Rory",5,5.0,3,8,,,,3.0,,,,1.0,,,,4,4,2.0,,4.0,,,89.0
20,"Toy, Josh",5,2.0,7,12,1.0,,,1.0,,,,1.0,1.0,,,3,8,,1.0,1.0,,,91.0
38,"Wilkinson, Joel",7,2.0,4,11,,,,3.0,1.0,1.0,,5.0,2.0,2.0,,5,6,,,2.0,,,95.0
Totals,Totals,199,91.0,146,345,12.0,13.0,33.0,63.0,32.0,46.0,28.0,57.0,21.0,22.0,5.0,131,211,12.0,5.0,46.0,11.0,9.0,
Opposition,Opposition,245,141.0,151,396,9.0,16.0,26.0,56.0,32.0,50.0,31.0,54.0,22.0,21.0,1.0,124,268,7.0,6.0,49.0,7.0,4.0,
