Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",26y 165d,125 (50-2-73 40.80%),36 (0.29),←,
18,"Banfield, Todd",21y 305d,46 (12-0-34 26.09%),56 (1.22),←,
20,"Black, Simon",33y 25d,300 (164-4-132 55.33%),164 (0.55),←,
16,"Brown, Jonathan",30y 182d,213 (127-3-83 60.33%),502 (2.36),←,
44,"Cornelius, Aaron",21y 335d,16 (3-0-13 18.75%),23 (1.44),←,
47,"Crisp, Jack",18y 209d,2 (1-0-1 50.00%),,←,
39,"Drummond, Josh",29y 9d,82 (37-2-43 46.34%),32 (0.39),←,
41,"Golby, Mitch",20y 208d,13 (4-0-9 30.77%),,←,
11,"Hanley, Pearce",23y 165d,39 (9-0-30 23.08%),8 (0.21),←,
22,"Hudson, Ben",33y 64d,147 (88-1-58 60.20%),16 (0.11),4 (2-0-2 50.00%),1 (0.25)
28,"Karnezis, Patrick",20y 5d,12 (2-0-10 16.67%),17 (1.42),←,
35,"Lester, Ryan",19y 246d,8 (2-0-6 25.00%),4 (0.50),←,
36,"Maguire, Matt",27y 334d,133 (65-1-67 49.25%),19 (0.14),34 (11-0-23 32.35%),
9,"McGrath, Ashley",28y 344d,181 (87-2-92 48.62%),137 (0.76),←,
21,"Merrett, Daniel",27y 138d,118 (49-3-66 42.80%),23 (0.19),←,
24,"Patfull, Joel",27y 143d,122 (48-3-71 40.57%),21 (0.17),←,
4,"Polec, Jared",19y 199d,8 (2-0-6 25.00%),4 (0.50),←,
29,"Raines, Andrew",26y 51d,85 (25-1-59 30.00%),3 (0.04),29 (7-0-22 24.14%),2 (0.07)
30,"Redden, Jack",21y 141d,59 (19-1-39 33.05%),25 (0.42),←,
10,"Rich, Daniel",21y 326d,67 (25-1-41 38.06%),39 (0.58),←,
38,"Rockliff, Tom",22y 66d,45 (10-0-35 22.22%),22 (0.49),←,
3,"Sheldon, Sam",23y 51d,43 (19-1-23 45.35%),11 (0.26),←,
Totals,Totals,24y 268d,1864 (848-25-991 45.49%),1162 (0.62),,
C,"Voss, Michael",36y 296d,73 (27-1-45 37.67%),,←,
