Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Ah Chee, Callum",8,3,3,11,,1.0,,4.0,,2.0,,12.0,2.0,5.0,,6.0,4.0,1.0,1.0,2.0,,,83.0
9,"Ainsworth, Ben",13,5,6,19,,,,7.0,3.0,5.0,4.0,4.0,1.0,1.0,,9.0,12.0,,,4.0,,,76.0
31,"Ballard, Charlie",3,,3,6,,,,1.0,,2.0,,4.0,,2.0,,5.0,1.0,,,2.0,1.0,,85.0
29,"Bowes, Jack",4,1,3,7,1,,,3.0,,1.0,,1.0,3.0,,,10.0,,1.0,,4.0,,,84.0
32,"Crossley, Brayden",5,,2,7,,,6.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,4.0,3.0,,,3.0,,,73.0
33,"Hall, Aaron",18,7,11,29,,,,5.0,9.0,2.0,3.0,5.0,1.0,1.0,,9.0,16.0,1.0,,3.0,,,82.0
5,"Harbrow, Jarrod",22,6,5,27,,,,9.0,8.0,5.0,,5.0,2.0,1.0,,8.0,17.0,,,4.0,,,87.0
40,"Heron, Jacob",4,,6,10,1,,,3.0,,2.0,1.0,2.0,2.0,,,6.0,3.0,,,,,1.0,86.0
39,"Holman, Nick",12,3,13,25,,1.0,,8.0,2.0,4.0,4.0,2.0,4.0,,,16.0,9.0,,,1.0,,,79.0
21,"Leslie, Jack",5,2,,5,,,,2.0,1.0,2.0,,1.0,,1.0,,1.0,4.0,,,3.0,,,85.0
25,"Lyons, Jarryd",13,3,9,22,,,,4.0,5.0,1.0,5.0,4.0,,,,10.0,11.0,1.0,,3.0,,,78.0
17,"May, Steven",12,4,4,16,,,,2.0,4.0,3.0,2.0,4.0,2.0,,,8.0,9.0,1.0,,4.0,,,90.0
11,"Miller, Touk",6,4,15,21,1,,,5.0,1.0,2.0,8.0,1.0,2.0,,,15.0,8.0,,,4.0,,,92.0
35,"Rischitelli, Michael",12,2,3,15,,,,1.0,4.0,2.0,2.0,2.0,1.0,,,9.0,5.0,1.0,,4.0,,,75.0
3,"Rosa, Matt",4,1,4,8,1,,,1.0,,,1.0,2.0,,1.0,,3.0,5.0,,,1.0,,,44.0
18,"Scheer, Brad",7,2,6,13,,,,3.0,1.0,3.0,3.0,2.0,,,,7.0,6.0,,,,,,75.0
6,"Sexton, Alex",6,,4,10,,1.0,,5.0,4.0,,,5.0,1.0,1.0,,2.0,6.0,,,2.0,1.0,1.0,84.0
24,"Swallow, David",11,3,7,18,,,,5.0,,4.0,5.0,3.0,3.0,2.0,,11.0,7.0,,,4.0,,,80.0
16,"Thompson, Rory",6,1,5,11,,,,,4.0,1.0,,3.0,1.0,2.0,,6.0,5.0,,,12.0,,,100.0
14,"Weller, Lachie",11,2,8,19,1,,,6.0,4.0,2.0,2.0,1.0,1.0,,,6.0,13.0,,,1.0,,2.0,87.0
28,"Witts, Jarrod",12,2,10,22,1,2.0,43.0,3.0,3.0,2.0,13.0,5.0,6.0,2.0,1.0,18.0,5.0,,,4.0,,,84.0
15,"Young, Aaron",11,1,4,15,,,,4.0,,2.0,,10.0,2.0,2.0,,5.0,9.0,,,2.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,52,131,336,6,6.0,49.0,83.0,55.0,48.0,54.0,80.0,36.0,23.0,1.0,174.0,158.0,6.0,1.0,67.0,2.0,4.0,
Opposition,Opposition,231,67,131,362,11,16.0,52.0,82.0,41.0,73.0,47.0,85.0,23.0,36.0,5.0,179.0,176.0,10.0,9.0,81.0,1.0,6.0,
