Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",29y 325d,202 (102-5-95 51.73%),145 (0.72),←,
5,"Buckley, Nathan",25y 21d,105 (40-2-63 39.05%),104 (0.99),85 (36-2-47 43.53%),83 (0.98)
28,"Crosisca, Gavin",28y 335d,200 (110-5-85 56.25%),54 (0.27),←,
9,"Francis, Matthew",26y 352d,42 (16-0-26 38.10%),23 (0.55),23 (12-0-11 52.17%),10 (0.43)
2,"Francis, Tony",28y 137d,131 (72-2-57 55.73%),94 (0.72),←,
43,"Godden, Luke",18y 329d,3 (1-0-2 33.33%),,←,
4,"James, Aaron",20y 289d,21 (8-2-11 42.86%),6 (0.29),←,
33,"Liddell, Chad",20y 207d,18 (7-1-10 41.67%),9 (0.50),←,
27,"McDonald, Alex",27y 184d,86 (43-0-43 50.00%),36 (0.42),40 (17-0-23 42.50%),12 (0.30)
48,"Michael, Mal",20y 53d,11 (5-0-6 45.45%),,←,
1,"Monkhorst, Damian",27y 360d,174 (97-4-73 56.90%),37 (0.21),←,
44,"Osborne, Richard",33y 61d,267 (111-2-154 41.95%),567 (2.12),13 (6-0-7 46.15%),19 (1.46)
6,"Patterson, Stephen",26y 224d,55 (24-1-30 44.55%),59 (1.07),←,
23,"Rocca, Anthony",20y 1d,41 (20-0-21 48.78%),44 (1.07),19 (9-0-10 47.37%),33 (1.74)
36,"Rocca, Saverio",23y 269d,108 (54-2-52 50.93%),379 (3.51),←,
29,"Russell, Scott",27y 101d,165 (91-3-71 56.06%),102 (0.62),←,
12,"Schauble, Andrew",20y 272d,43 (18-0-25 41.86%),5 (0.12),←,
30,"Sharkey, Paul",23y 69d,24 (10-0-14 41.67%),3 (0.13),←,
14,"Watson, Shane",23y 180d,107 (51-1-55 48.13%),64 (0.60),←,
10,"Williams, Paul",24y 135d,133 (66-2-65 50.38%),170 (1.28),←,
19,"Wright, Graham",29y 71d,182 (105-4-73 58.79%),106 (0.58),←,
Totals,Totals,25y 33d,2118 (1051-36-1031 49.62%),2007 (0.95),,
C,"Shaw, Tony",37y 24d,42 (18-0-24 42.86%),,←,
