Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",13,3,15,28,1.0,,,6.0,1.0,4.0,9.0,3.0,4.0,2.0,,15.0,15,,,1.0,,1.0,78.0
14,"Aish, James",7,5,4,11,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,5.0,6,1.0,2.0,,,,75.0
11,"Blair, Jarryd",6,1,5,11,,,,,,3.0,,2.0,1.0,,,1.0,10,,,1.0,,,87.0
16,"Brown, Nathan",4,3,7,11,,,,,1.0,1.0,,3.0,,2.0,,5.0,6,1.0,,9.0,,,88.0
32,"Cloke, Travis",13,7,3,16,2.0,1.0,8.0,1.0,2.0,6.0,1.0,3.0,2.0,,,6.0,10,1.0,3.0,2.0,,1.0,90.0
25,"Crisp, Jack",9,1,8,17,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,,6.0,11,,1.0,2.0,,,80.0
2,"de Goey, Jordan",10,5,7,17,2.0,2.0,,4.0,,3.0,1.0,,,,,6.0,11,1.0,1.0,,,1.0,84.0
1,"Fasolo, Alex",7,1,7,14,2.0,,,,,1.0,1.0,3.0,1.0,2.0,,6.0,7,1.0,,2.0,,,88.0
6,"Goldsack, Tyson",5,3,4,9,,,,3.0,3.0,,,3.0,,,,2.0,9,,,3.0,,1.0,82.0
27,"Goodyear, Matthew",7,4,4,11,,,,,,1.0,,3.0,,,,3.0,8,,,,1.0,,69.0
19,"Greenwood, Levi",13,3,11,24,,,1.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,,10.0,13,1.0,,1.0,,1.0,78.0
4,"Grundy, Brodie",11,2,5,16,,1.0,22.0,4.0,,1.0,2.0,1.0,3.0,,,9.0,7,,1.0,3.0,,,90.0
38,"Howe, Jeremy",7,2,1,8,1.0,,,3.0,,5.0,1.0,1.0,1.0,,,3.0,4,,1.0,2.0,,,88.0
8,"Langdon, Tom",13,7,14,27,1.0,,,2.0,4.0,2.0,4.0,1.0,1.0,,,12.0,13,1.0,,1.0,,1.0,82.0
37,"Maynard, Brayden",13,2,6,19,,,,5.0,3.0,2.0,,4.0,,2.0,,6.0,11,,,,,,83.0
30,"Moore, Darcy",3,1,3,6,,,,1.0,1.0,,,3.0,1.0,2.0,,6.0,1,1.0,1.0,3.0,,1.0,89.0
43,"Oxley, Adam",13,8,12,25,1.0,,,3.0,1.0,6.0,3.0,2.0,,1.0,,13.0,13,3.0,,1.0,,1.0,89.0
10,"Pendlebury, Scott",17,3,10,27,2.0,,,4.0,3.0,4.0,2.0,2.0,3.0,1.0,,7.0,19,,,2.0,,,88.0
20,"Reid, Ben",9,5,7,16,,,,2.0,5.0,1.0,,3.0,,3.0,,5.0,12,1.0,,6.0,,1.0,86.0
28,"Sinclair, Ben",5,2,3,8,,,,2.0,,2.0,,3.0,,,,1.0,7,,,,,,82.0
7,"Treloar, Adam",5,1,20,25,,,,8.0,2.0,1.0,7.0,2.0,1.0,2.0,,17.0,9,,,,,,84.0
26,"Williams, Marley",2,3,1,3,,,,,2.0,,,1.0,,,,,3,,,1.0,,,37.0
Totals,Totals,192,72,157,349,14.0,6.0,32.0,53.0,32.0,49.0,38.0,51.0,21.0,20.0,,144.0,205,12.0,10.0,40.0,1.0,9.0,
Opposition,Opposition,250,126,196,446,18.0,11.0,36.0,61.0,34.0,54.0,31.0,54.0,20.0,21.0,6.0,126.0,319,11.0,19.0,48.0,5.0,15.0,
