Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 288d,76 (16-1-59 21.71%),48 (0.63),←,
30,"Bourke, Damian",28y 172d,105 (58-1-46 55.71%),17 (0.16),3 (0-0-3 0.00%),2 (0.67)
11,"Buckley, Nathan",20y 349d,14 (3-0-11 21.43%),13 (0.93),←,
1,"Champion, Richard",25y 87d,51 (9-1-41 18.63%),24 (0.47),←,
5,"Chapman, Nathan",18y 64d,14 (3-0-11 21.43%),4 (0.29),←,
16,"Clarke, Matthew",19y 295d,3 (0-0-3 0.00%),,←,
12,"Clarke, Troy",24y 32d,43 (7-1-35 17.44%),17 (0.40),←,
6,"Fletcher, Adrian",23y 273d,59 (28-0-31 47.46%),31 (0.53),14 (3-0-11 21.43%),11 (0.79)
4,"Gastev, John",28y 333d,125 (38-1-86 30.80%),69 (0.55),95 (21-1-73 22.63%),38 (0.40)
32,"Hart, Shaun",22y 54d,42 (8-1-33 20.24%),7 (0.17),←,
31,"McCormack, Brendan",23y 12d,50 (17-0-33 34.00%),34 (0.68),6 (2-0-4 33.33%),7 (1.17)
7,"McIvor, Scott",26y 335d,139 (49-0-90 35.25%),59 (0.42),84 (23-0-61 27.38%),44 (0.52)
19,"McLean, Michael",28y 129d,133 (53-2-78 40.60%),37 (0.28),38 (6-0-32 15.79%),14 (0.37)
40,"McLuckie, Steven",20y 148d,16 (4-1-11 28.13%),8 (0.50),←,
21,"Parker, John",22y 54d,1 (0-0-1 0.00%),,←,
8,"Peos, Paul",25y 163d,60 (25-2-33 43.33%),37 (0.62),9 (1-0-8 11.11%),9 (1.00)
3,"Voss, Michael",18y 3d,17 (5-0-12 29.41%),7 (0.41),←,
33,"White, Darryl",20y 28d,25 (5-1-19 22.00%),26 (1.04),←,
28,"Windsor, Ray",20y 333d,20 (2-1-17 12.50%),18 (0.90),←,
18,"Worsfold, Peter",22y 364d,26 (2-1-23 9.62%),20 (0.77),←,
Totals,Totals,23y 30d,1019 (332-14-673 32.58%),476 (0.47),,
C,"Walls, Robert",42y 354d,257 (125-2-130 49.03%),,58 (10-1-47 18.10%),
