Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
41,"Banfield, Bailey",20y 153d,18 (7-0-11 38.89%),5 (0.28),←,
8,"Brayshaw, Andrew",18y 263d,16 (6-0-10 37.50%),5 (0.31),←,
5,"Cerra, Adam",18y 295d,17 (7-0-10 41.18%),7 (0.41),←,
36,"Cox, Brennan",19y 350d,22 (6-0-16 27.27%),19 (0.86),←,
4,"Darcy, Sean",20y 47d,11 (2-0-9 18.18%),2 (0.18),←,
44,"Duman, Taylin",20y 102d,7 (2-0-5 28.57%),,←,
42,"Giro, Stefan",19y 141d,8 (3-0-5 37.50%),2 (0.25),←,
21,"Hamling, Joel",25y 111d,62 (31-0-31 50.00%),,39 (15-0-24 38.46%),
9,"Hill, Bradley",25y 20d,123 (84-0-39 68.29%),72 (0.59),28 (10-0-18 35.71%),14 (0.50)
32,"Hill, Stephen",28y 89d,202 (104-0-98 51.49%),111 (0.55),←,
40,"Jones, Scott",23y 70d,5 (2-0-3 40.00%),2 (0.40),←,
26,"Langdon, Ed",22y 178d,42 (15-0-27 35.71%),22 (0.52),←,
3,"Matera, Brandon",26y 140d,118 (38-1-79 32.63%),135 (1.14),17 (7-0-10 41.18%),11 (0.65)
16,"Mundy, David",33y 9d,290 (150-1-139 51.90%),126 (0.43),←,
27,"Neale, Lachie",25y 66d,131 (64-0-67 48.85%),64 (0.49),←,
25,"Pearce, Alex",23y 50d,38 (15-0-23 39.47%),3 (0.08),←,
38,"Ryan, Luke",22y 173d,29 (9-0-20 31.03%),2 (0.07),←,
11,"Sheridan, Tom",24y 274d,78 (39-0-39 50.00%),29 (0.37),←,
33,"Sutcliffe, Cam",26y 67d,104 (59-1-44 57.21%),18 (0.17),←,
18,"Tucker, Darcy",21y 187d,46 (13-0-33 28.26%),19 (0.41),←,
10,"Walters, Michael",27y 203d,126 (65-1-60 51.98%),219 (1.74),←,
14,"Wilson, Nathan",25y 203d,94 (46-2-46 50.00%),17 (0.18),17 (6-0-11 35.29%),1 (0.06)
Totals,Totals,23y 195d,1587 (767-6-814 48.33%),879 (0.55),,
C,"Lyon, Ross",51y 263d,280 (162-5-113 58.75%),,159 (86-1-72 54.40%),
