Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 242d,97 (61-0-36 62.89%),145 (1.49),59 (43-0-16 72.88%),90 (1.53)
11,"Archer, Glenn",27y 65d,172 (115-0-57 66.86%),105 (0.61),←,
26,"Bell, Peter",24y 88d,112 (77-0-35 68.75%),107 (0.96),110 (77-0-33 70.00%),105 (0.95)
12,"Blakey, John",33y 309d,311 (169-0-142 54.34%),99 (0.32),176 (117-0-59 66.48%),61 (0.35)
22,"Burton, Matthew",30y 9d,80 (28-0-52 35.00%),37 (0.46),10 (6-0-4 60.00%),5 (0.50)
17,"Calthorpe, David",26y 285d,111 (65-2-44 59.46%),70 (0.63),10 (7-0-3 70.00%),10 (1.00)
16,"Capuano, Mathew",24y 269d,74 (56-0-18 75.68%),20 (0.27),←,
18,"Carey, Wayne",29y 1d,217 (138-0-79 63.59%),598 (2.76),←,
23,"Clayton, Shane",21y 217d,55 (30-0-25 54.55%),16 (0.29),37 (28-0-9 75.68%),15 (0.41)
2,"Colbert, Leigh",24y 356d,108 (64-1-43 59.72%),54 (0.50),3 (2-0-1 66.67%),4 (1.33)
6,"Grant, Shannon",23y 39d,119 (77-1-41 65.13%),137 (1.15),61 (45-0-16 73.77%),99 (1.62)
29,"Harvey, Brent",22y 14d,76 (54-0-22 71.05%),86 (1.13),←,
34,"King, David",28y 82d,144 (98-0-46 68.06%),56 (0.39),←,
35,"Makepeace, Troy",21y 83d,9 (7-0-2 77.78%),4 (0.44),←,
4,"Martyn, Mick",31y 271d,251 (151-1-99 60.36%),15 (0.06),←,
5,"McCartney, Jason",26y 75d,132 (76-0-56 57.58%),52 (0.39),57 (42-0-15 73.68%),4 (0.07)
31,"McKernan, Corey",26y 161d,149 (104-0-45 69.80%),177 (1.19),←,
44,"Motlop, Shannon",21y 284d,17 (13-0-4 76.47%),14 (0.82),←,
28,"Pickett, Byron",22y 291d,63 (46-0-17 73.02%),2 (0.03),←,
13,"Pike, Martin",27y 196d,132 (65-0-67 49.24%),59 (0.45),72 (53-0-19 73.61%),19 (0.26)
3,"Rawlings, Brady",18y 353d,17 (15-0-2 88.24%),4 (0.24),←,
7,"Simpson, Adam",24y 102d,102 (75-0-27 73.53%),37 (0.36),←,
Totals,Totals,25y 206d,2548 (1584-5-959 62.17%),1894 (0.74),,
C,"Pagan, Denis",52y 247d,182 (122-0-60 67.03%),,←,
